,Street Name
0,HOLLAND DR
1,KEAT HONG LINK
2,TECK WHYE LANE
3,TOWNER RD
4,WOODLANDS AVE 4
5,CLEMENTI ST 13
6,ANG MO KIO AVE 10
7,BISHAN ST 22
8,JELEBU RD
9,STRATHMORE AVE
10,CHOA CHU KANG AVE 7
11,CHOA CHU KANG CRES
12,JURONG WEST AVE 1
13,MARINE DR
14,BANGKIT RD
15,WOODLANDS DR 53
16,YISHUN AVE 2
17,LENGKONG TIGA
18,ST. GEORGE'S LANE
19,JURONG WEST ST 73
20,ANG MO KIO AVE 2
21,BT BATOK ST 32
22,BT BATOK ST 31
23,PAYA LEBAR WAY
24,ANG MO KIO ST 32
25,JURONG EAST ST 32
26,HOUGANG CTRL
27,SERANGOON NTH AVE 1
28,JURONG WEST ST 65
29,WOODLANDS DR 40
30,BT MERAH VIEW
31,JURONG EAST ST 21
32,DOVER CRES
33,JELAPANG RD
34,TAMPINES ST 24
35,TAMPINES AVE 5
36,TAMPINES ST 86
37,WOODLANDS DR 42
38,TAMPINES ST 84
39,LOR 7 TOA PAYOH
40,CLEMENTI AVE 6
41,TAMPINES AVE 7
42,HOUGANG ST 92
43,HOUGANG AVE 10
44,CLEMENTI AVE 4
45,BOON TIONG RD
46,WHAMPOA STH
47,WOODLANDS DR 52
48,BT BATOK WEST AVE 4
49,REDHILL LANE
50,BT BATOK EAST AVE 5
51,JLN MEMBINA
52,REDHILL RD
53,YISHUN ST 22
54,ANG MO KIO ST 61
55,C'WEALTH CL
56,YUAN CHING RD
57,TAMPINES ST 11
58,PUNGGOL FIELD WALK
59,SIMEI ST 4
60,ANG MO KIO ST 11
61,JLN BAHAGIA
62,STIRLING RD
63,HOUGANG ST 22
64,BEDOK STH AVE 1
65,JURONG WEST ST 61
66,YUNG SHENG RD
67,GEYLANG EAST CTRL
68,FARRER PK RD
69,JLN TENTERAM
70,SIMEI ST 2
71,FERNVALE LINK
72,JURONG EAST ST 24
73,CASHEW RD
74,BT BATOK EAST AVE 4
75,KELANTAN RD
76,ROWELL RD
77,EDGEDALE PLAINS
78,NTH BRIDGE RD
79,DORSET RD
80,WOODLANDS DR 73
81,TAMPINES ST 83
82,KIM PONG RD
83,BEDOK NTH ST 1
84,HOUGANG ST 11
85,PUNGGOL WALK
86,LOR 4 TOA PAYOH
87,WHAMPOA WEST
88,JURONG WEST ST 93
89,TAMPINES ST 81
90,YISHUN ST 20
91,TELOK BLANGAH DR
92,BT BATOK CTRL
93,JOO SENG RD
94,CLEMENTI WEST ST 1
95,CHOA CHU KANG CTRL
96,PASIR RIS DR 1
97,MARSILING RISE
98,WOODLANDS ST 81
99,WOODLANDS DR 72
100,NEW UPP CHANGI RD
101,SUMANG WALK
102,UPP SERANGOON RD
103,BUANGKOK LINK
104,JURONG EAST AVE 1
105,YISHUN ST 81
106,SIMS AVE
107,REDHILL CL
108,COMPASSVALE WALK
109,ANCHORVALE CRES
110,HOUGANG ST 21
111,PUNGGOL WAY
112,BISHAN ST 12
113,HOUGANG AVE 6
114,ANCHORVALE LINK
115,ANCHORVALE LANE
116,ANG MO KIO ST 31
117,BT BATOK ST 33
118,SELEGIE RD
119,CHOA CHU KANG DR
120,HOUGANG AVE 2
121,CLARENCE LANE
122,WATERLOO ST
123,CHAI CHEE RD
124,JURONG WEST AVE 5
125,WOODLANDS DR 60
126,SMITH ST
127,TELOK BLANGAH WAY
128,CHANDER RD
129,BT MERAH CTRL
130,JURONG EAST ST 31
131,KING GEORGE'S AVE
132,ST. GEORGE'S RD
133,BEDOK RESERVOIR CRES
134,CLEMENTI ST 14
135,QUEEN'S RD
136,WOODLANDS AVE 5
137,HOUGANG ST 32
138,SIN MING RD
139,JURONG WEST ST 92
140,ANG MO KIO AVE 4
141,PASIR RIS ST 41
142,TAMAN HO SWEE
143,TAMPINES AVE 1
144,PASIR RIS ST 13
145,JURONG WEST ST 52
146,COMPASSVALE DR
147,GEYLANG EAST AVE 1
148,QUEEN ST
149,HO CHING RD
150,KRETA AYER RD
151,ANG MO KIO AVE 6
152,CAMBRIDGE RD
153,TECK WHYE AVE
154,FAJAR RD
155,TAMPINES AVE 4
156,BT BATOK WEST AVE 8
157,JURONG WEST ST 51
158,BEDOK NTH AVE 1
159,LOWER DELTA RD
160,OWEN RD
161,JURONG WEST CTRL 1
162,CANTONMENT RD
163,TIONG BAHRU RD
164,UPP SERANGOON VIEW
165,HAVELOCK RD
166,TEBAN GDNS RD
167,SAUJANA RD
168,HOUGANG ST 51
169,SENGKANG EAST AVE
170,WOODLANDS DR 62
171,DAKOTA CRES
172,CLEMENTI ST 11
173,PUNGGOL PL
174,DELTA AVE
175,MACPHERSON LANE
176,TAMPINES ST 21
177,JURONG WEST ST 62
178,CHOA CHU KANG AVE 4
179,SENG POH RD
180,CHOA CHU KANG NTH 6
181,SEMBAWANG CRES
182,MARSILING CRES
183,RIVERVALE ST
184,PENDING RD
185,CANBERRA RD
186,LOR 6 TOA PAYOH
187,KIM CHENG ST
188,JURONG WEST ST 72
189,C'WEALTH AVE
190,WELLINGTON CIRCLE
191,TAMPINES ST 44
192,CHOA CHU KANG AVE 2
193,TELOK BLANGAH HTS
194,SERANGOON AVE 3
195,UPP BOON KENG RD
196,YUNG HO RD
197,JURONG WEST ST 25
198,DOVER CL EAST
199,HOUGANG AVE 8
200,YISHUN ST 41
201,C'WEALTH DR
202,CHOA CHU KANG ST 53
203,PASIR RIS DR 10
204,KIM KEAT AVE
205,YISHUN ST 11
206,YISHUN CTRL 1
207,JLN KUKOH
208,YISHUN ST 31
209,BALAM RD
210,WOODLANDS CIRCLE
211,LOR 1A TOA PAYOH
212,AH HOOD RD
213,PUNGGOL DR
214,WOODLANDS DR 70
215,WOODLANDS ST 13
216,PASIR RIS ST 72
217,TAMPINES ST 23
218,KEAT HONG CL
219,CLEMENTI AVE 1
220,BT BATOK ST 34
221,WEST COAST RD
222,SIMEI ST 5
223,TAMPINES ST 72
224,TAMPINES ST 33
225,GEYLANG SERAI
226,BEDOK CTRL
