"타임스탬프","Rank (1st: Most Important ;  5th: Least Important) [1st Choice]","Rank (1st: Most Important ;  5th: Least Important) [2nd Choice]","Rank (1st: Most Important ;  5th: Least Important) [3rd Choice]","Rank (1st: Most Important ;  5th: Least Important) [4th Choice]","Rank (1st: Most Important ;  5th: Least Important) [5th Choice]"
"2021/04/10 1:35:03 오후 GMT+8","Ease of Access to LRT/MRT Station","Distance to Hawker Centre","Distance to Mall","Age of Flat","Distance to City Centre (Orchard)"
"2021/04/10 1:35:08 오후 GMT+8","Ease of Access to LRT/MRT Station","Distance to Hawker Centre","Distance to Mall","Distance to City Centre (Orchard)","Age of Flat"
"2021/04/10 1:37:04 오후 GMT+8","Age of Flat","Ease of Access to LRT/MRT Station","Distance to Mall","Distance to Hawker Centre","Distance to City Centre (Orchard)"
"2021/04/10 1:38:29 오후 GMT+8","Distance to Hawker Centre","Ease of Access to LRT/MRT Station","Age of Flat","Distance to Mall","Distance to City Centre (Orchard)"
"2021/04/10 1:41:57 오후 GMT+8","Distance to Hawker Centre","Ease of Access to LRT/MRT Station","Distance to Mall","Distance to City Centre (Orchard)","Age of Flat"
"2021/04/10 1:42:42 오후 GMT+8","Ease of Access to LRT/MRT Station","Distance to Mall","Age of Flat","Distance to Hawker Centre","Distance to City Centre (Orchard)"
"2021/04/10 1:44:02 오후 GMT+8","Age of Flat","Ease of Access to LRT/MRT Station","Distance to Mall","Distance to City Centre (Orchard)","Distance to Hawker Centre"
"2021/04/10 1:44:22 오후 GMT+8","Age of Flat","Distance to City Centre (Orchard)","Distance to Hawker Centre","Distance to Mall","Ease of Access to LRT/MRT Station"
"2021/04/10 1:44:25 오후 GMT+8","Ease of Access to LRT/MRT Station","Distance to Mall","Age of Flat","Distance to City Centre (Orchard)","Distance to Hawker Centre"
"2021/04/10 1:44:30 오후 GMT+8","Age of Flat","Ease of Access to LRT/MRT Station","Distance to City Centre (Orchard)","Distance to Hawker Centre","Distance to Mall"
"2021/04/10 1:48:54 오후 GMT+8","Ease of Access to LRT/MRT Station","Age of Flat","Distance to Mall","Distance to Hawker Centre","Distance to City Centre (Orchard)"
"2021/04/10 1:50:50 오후 GMT+8","Age of Flat","Ease of Access to LRT/MRT Station","Distance to Hawker Centre","Distance to Mall","Distance to City Centre (Orchard)"
"2021/04/10 1:55:25 오후 GMT+8","Ease of Access to LRT/MRT Station","Distance to Mall","Distance to Hawker Centre","Age of Flat","Distance to City Centre (Orchard)"
"2021/04/10 1:59:31 오후 GMT+8","Distance to City Centre (Orchard)","Ease of Access to LRT/MRT Station","Age of Flat","Distance to Mall","Distance to Hawker Centre"
"2021/04/10 2:00:23 오후 GMT+8","Ease of Access to LRT/MRT Station","Distance to Hawker Centre","Distance to Mall","Distance to City Centre (Orchard)","Age of Flat"
"2021/04/10 2:00:24 오후 GMT+8","Distance to Hawker Centre","Distance to Mall","Distance to City Centre (Orchard)","Ease of Access to LRT/MRT Station","Age of Flat"
"2021/04/10 2:01:06 오후 GMT+8","Ease of Access to LRT/MRT Station","Distance to Hawker Centre","Distance to Mall","Distance to City Centre (Orchard)","Age of Flat"
"2021/04/10 2:02:08 오후 GMT+8","Age of Flat","Distance to City Centre (Orchard)","Distance to Mall","Distance to Hawker Centre","Ease of Access to LRT/MRT Station"
"2021/04/10 2:02:46 오후 GMT+8","Age of Flat","Ease of Access to LRT/MRT Station","Distance to Hawker Centre","Distance to Mall","Distance to City Centre (Orchard)"
"2021/04/10 2:08:03 오후 GMT+8","Ease of Access to LRT/MRT Station","Distance to Hawker Centre","Age of Flat","Distance to Mall","Distance to City Centre (Orchard)"
"2021/04/10 2:09:35 오후 GMT+8","Age of Flat","Distance to Hawker Centre","Distance to City Centre (Orchard)","Ease of Access to LRT/MRT Station","Distance to Mall"
"2021/04/10 2:10:22 오후 GMT+8","Ease of Access to LRT/MRT Station","Distance to Mall","Age of Flat","Distance to Hawker Centre","Distance to City Centre (Orchard)"
"2021/04/10 2:10:30 오후 GMT+8","Ease of Access to LRT/MRT Station","Age of Flat","Distance to Hawker Centre","Distance to Mall","Distance to City Centre (Orchard)"
"2021/04/10 2:11:08 오후 GMT+8","Ease of Access to LRT/MRT Station","Age of Flat","Distance to Hawker Centre","Distance to City Centre (Orchard)","Distance to Mall"
"2021/04/10 2:22:37 오후 GMT+8","Age of Flat","Ease of Access to LRT/MRT Station","Distance to Mall","Distance to Hawker Centre","Distance to City Centre (Orchard)"
"2021/04/10 2:28:03 오후 GMT+8","Age of Flat","Ease of Access to LRT/MRT Station","Distance to Hawker Centre","Distance to City Centre (Orchard)","Distance to Mall"
"2021/04/10 2:28:13 오후 GMT+8","Age of Flat","Ease of Access to LRT/MRT Station","Distance to Hawker Centre","Distance to Mall","Distance to City Centre (Orchard)"
"2021/04/10 2:29:14 오후 GMT+8","Age of Flat","Distance to Hawker Centre","Ease of Access to LRT/MRT Station","Distance to Mall","Distance to City Centre (Orchard)"
"2021/04/10 2:29:44 오후 GMT+8","Ease of Access to LRT/MRT Station","Distance to Mall","Distance to Hawker Centre","Age of Flat","Distance to City Centre (Orchard)"
"2021/04/10 2:37:31 오후 GMT+8","Ease of Access to LRT/MRT Station","Age of Flat","Distance to Mall","Distance to Hawker Centre","Distance to City Centre (Orchard)"
"2021/04/10 2:38:59 오후 GMT+8","Ease of Access to LRT/MRT Station","Age of Flat","Distance to Hawker Centre","Distance to Mall","Distance to City Centre (Orchard)"
"2021/04/10 2:54:15 오후 GMT+8","Ease of Access to LRT/MRT Station","Distance to City Centre (Orchard)","Distance to Hawker Centre","Distance to Mall","Age of Flat"
"2021/04/10 3:11:47 오후 GMT+8","Ease of Access to LRT/MRT Station","Age of Flat","Distance to Mall","Distance to Hawker Centre","Distance to City Centre (Orchard)"
"2021/04/10 3:15:47 오후 GMT+8","Age of Flat","Ease of Access to LRT/MRT Station","Distance to Hawker Centre","Distance to Mall","Distance to City Centre (Orchard)"
"2021/04/10 3:17:03 오후 GMT+8","Ease of Access to LRT/MRT Station","Age of Flat","Distance to Mall","Distance to City Centre (Orchard)","Distance to Hawker Centre"
"2021/04/10 3:26:30 오후 GMT+8","Ease of Access to LRT/MRT Station","Age of Flat","Distance to Mall","Distance to City Centre (Orchard)","Distance to Hawker Centre"
"2021/04/10 3:27:01 오후 GMT+8","Age of Flat","Ease of Access to LRT/MRT Station","Distance to Hawker Centre","Distance to Mall","Distance to City Centre (Orchard)"
