,address,postal_code,latitude,longitude,full_address,coordinates,nearest_MRT,MRT_distance,nearest_Mall,Mall_distance,nearest_Market,Market_distance,nearest_Hawker,Hawker_distance,CBD_distance
0,216 ANG MO KIO AVE 1,560216,1.366196788,103.841505,216 ANG MO KIO AVENUE 1 ANG MO KIO 22 SINGAPORE 560216,"(1.366196788, 103.841505)",Ang Mo Kio,0.994265916,Broadway   Plaza    Singapore ,0.808768639,NTUC Fairprice Co-operative Ltd,0.047045739,Blk 226H Ang Mo Kio Street 22,0.185346435,9.206560335
1,211 ANG MO KIO AVE 3,560211,1.369196966,103.8416666,211 ANG MO KIO AVENUE 3 SINGAPORE 560211,"(1.3691969659999998, 103.8416666)",Ang Mo Kio,0.885369624,Broadway   Plaza    Singapore ,0.567489488,SHENG SIONG SUPERMARKET PTE LTD,0.223284052,Blk 226H Ang Mo Kio Street 22,0.280174388,9.535660737
2,202 ANG MO KIO AVE 3,560202,1.36844644,103.8445163,202 ANG MO KIO AVENUE 3 ANG MO KIO VIEW SINGAPORE 560202,"(1.36844644, 103.8445163)",Ang Mo Kio,0.590479438,Broadway   Plaza    Singapore ,0.42053737,SHENG SIONG SUPERMARKET PTE LTD,0.229269064,Blk 724 Ang Mo Kio Ave 6,0.472803266,9.42098589
3,235 ANG MO KIO AVE 3,560235,1.366823607,103.8364912,235 ANG MO KIO AVENUE 3 PCF SPARKLETOTS PRESCHOOL @ YIO CHU KANG BLK 235 (KN) SINGAPORE 560235,"(1.366823607, 103.8364912)",Ang Mo Kio,1.498773006,Broadway   Plaza    Singapore ,1.197657506,SHENG SIONG SUPERMARKET PTE LTD,0.085318059,Blk 226D Ang Mo Kio Ave 1,0.294742631,9.359605005
4,232 ANG MO KIO AVE 3,560232,1.368346068,103.837196,232 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560232,"(1.3683460680000001, 103.83719599999999)",Ang Mo Kio,1.39012886,Broadway   Plaza    Singapore ,1.054283377,SHENG SIONG SUPERMARKET PTE LTD,0.102044731,Blk 226D Ang Mo Kio Ave 1,0.275678208,9.512681924
5,308 ANG MO KIO AVE 1,561308,1.365483428,103.8440847,308A ANG MO KIO AVENUE 1 TECK GHEE VISTA SINGAPORE 561308,"(1.365483428, 103.84408470000001)",Ang Mo Kio,0.793273303,AMKHub    Singapore ,0.642567481,NTUC Fairprice Co-operative Ltd,0.279099427,Blk 226H Ang Mo Kio Street 22,0.475502291,9.0969979
6,220 ANG MO KIO AVE 1,560220,1.365588336,103.8405189,220 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560220,"(1.3655883359999998, 103.8405189)",Ang Mo Kio,1.122385851,Broadway   Plaza    Singapore ,0.930575174,NTUC Fairprice Co-operative Ltd,0.174597014,Blk 226H Ang Mo Kio Street 22,0.181346165,9.153532143
7,219 ANG MO KIO AVE 1,560219,1.36598198,103.840654,219 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560219,"(1.36598198, 103.840654)",Ang Mo Kio,1.090147824,Broadway   Plaza    Singapore ,0.887751876,NTUC Fairprice Co-operative Ltd,0.139382133,Blk 226H Ang Mo Kio Street 22,0.144057099,9.194905151
8,320 ANG MO KIO AVE 1,560320,1.365592456,103.8483867,320 ANG MO KIO AVENUE 1 TECK GHEE VISTA SINGAPORE 560320,"(1.365592456, 103.8483867)",Ang Mo Kio,0.51064754,AMKHub    Singapore ,0.407360425,COLD STORAGE SINGAPORE (1983) PTE LTD,0.133368277,Blk 341 Ang Mo Kio Ave 1,0.197507328,9.077651934
9,223 ANG MO KIO AVE 1,560223,1.366048084,103.8381227,223 ANG MO KIO AVENUE 1 SINGAPORE 560223,"(1.366048084, 103.83812270000001)",Ang Mo Kio,1.349058188,Broadway   Plaza    Singapore ,1.09105895,SHENG SIONG SUPERMARKET PTE LTD,0.226865568,Blk 226D Ang Mo Kio Ave 1,0.141533827,9.243641576
10,230 ANG MO KIO AVE 3,560230,1.368854452,103.8378964,230 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560230,"(1.3688544519999999, 103.8378964)",Ang Mo Kio,1.306178365,Broadway   Plaza    Singapore ,0.961087528,SHENG SIONG SUPERMARKET PTE LTD,0.19383265,Blk 226D Ang Mo Kio Ave 1,0.26621628,9.555678824
11,329 ANG MO KIO AVE 3,560329,1.366599083,103.8468744,329 ANG MO KIO AVENUE 3 MY FIRST SKOOL SINGAPORE 560329,"(1.366599083, 103.8468744)",Ang Mo Kio,0.485915291,AMKHub    Singapore ,0.344169998,COLD STORAGE SINGAPORE (1983) PTE LTD,0.236905904,Blk 341 Ang Mo Kio Ave 1,0.333700955,9.197586463
12,313 ANG MO KIO AVE 3,560313,1.366649726,103.8501337,313 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560313,"(1.366649726, 103.8501337)",Ang Mo Kio,0.380184634,AMKHub    Singapore ,0.344058891,NTUC Fairprice Co-operative Ltd,0.327628293,Blk 341 Ang Mo Kio Ave 1,0.38732177,9.189606843
13,117 ANG MO KIO AVE 4,560117,1.373717083,103.8356105,117 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560117,"(1.373717083, 103.8356105)",Yio Chu Kang,1.368384067,Broadway   Plaza    Singapore ,1.168908079,COLD STORAGE SINGAPORE (1983) PTE LTD,0.454077672,Mayflower Market & Food Centre,0.413507713,10.13133058
14,110 ANG MO KIO AVE 4,560110,1.37045937,103.8374193,110 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560110,"(1.37045937, 103.8374193)",Ang Mo Kio,1.353574665,Broadway   Plaza    Singapore ,0.965025787,SHENG SIONG SUPERMARKET PTE LTD,0.332269975,Blk 226D Ang Mo Kio Ave 1,0.448737023,9.740342545
15,343 ANG MO KIO AVE 3,560343,1.368374751,103.8491511,343 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560343,"(1.368374751, 103.8491511)",Ang Mo Kio,0.189817994,AMKHub    Singapore ,0.124157595,NTUC Fairprice Co-operative Ltd,0.107006161,Blk 724 Ang Mo Kio Ave 6,0.516013287,9.383937137
16,345 ANG MO KIO AVE 3,560345,1.367487025,103.8496517,345 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560345,"(1.367487025, 103.8496517)",Ang Mo Kio,0.282299158,AMKHub    Singapore ,0.236814932,NTUC Fairprice Co-operative Ltd,0.220249264,Blk 341 Ang Mo Kio Ave 1,0.441600066,9.283797334
17,346 ANG MO KIO AVE 3,560346,1.367095869,103.8496623,346 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560346,"(1.3670958690000001, 103.8496623)",Ang Mo Kio,0.325809664,AMKHub    Singapore ,0.274568635,NTUC Fairprice Co-operative Ltd,0.259935626,Blk 341 Ang Mo Kio Ave 1,0.40260652,9.240287042
18,121 ANG MO KIO AVE 3,560121,1.369702265,103.8434376,121 ANG MO KIO AVENUE 3 PCF SPARKLETOTS PRESCHOOL @ YIO CHU KANG BLK 121 (KN) SINGAPORE 560121,"(1.369702265, 103.84343759999999)",Ang Mo Kio,0.68463994,Broadway   Plaza    Singapore ,0.375771502,SHENG SIONG SUPERMARKET PTE LTD,0.054146816,Blk 724 Ang Mo Kio Ave 6,0.440833272,9.570781391
19,129 ANG MO KIO AVE 3,560129,1.369894989,103.842059,129 ANG MO KIO AVENUE 3 YIO CHU KANG VILLE SINGAPORE 560129,"(1.369894989, 103.84205899999999)",Ang Mo Kio,0.837073304,Broadway   Plaza    Singapore ,0.490829077,SHENG SIONG SUPERMARKET PTE LTD,0.154037129,Blk 226H Ang Mo Kio Street 22,0.368639495,9.607840381
20,130 ANG MO KIO AVE 3,560130,1.370397917,103.8418788,130 ANG MO KIO AVENUE 3 YIO CHU KANG VILLE SINGAPORE 560130,"(1.3703979169999998, 103.84187879999999)",Ang Mo Kio,0.857982626,Broadway   Plaza    Singapore ,0.486299577,SHENG SIONG SUPERMARKET PTE LTD,0.172149508,Blk 226H Ang Mo Kio Street 22,0.405878631,9.665644356
21,128 ANG MO KIO AVE 3,560128,1.370832028,103.843547,128 ANG MO KIO AVENUE 3 SINGAPORE 560128,"(1.3708320280000001, 103.843547)",Ang Mo Kio,0.677506627,Broadway   Plaza    Singapore ,0.296408706,SHENG SIONG SUPERMARKET PTE LTD,0.073074948,Blk 724 Ang Mo Kio Ave 6,0.363623701,9.694713694
22,127 ANG MO KIO AVE 3,560127,1.371223221,103.8435933,127 ANG MO KIO AVENUE 3 SINGAPORE 560127,"(1.371223221, 103.8435933)",Ang Mo Kio,0.679579362,Broadway   Plaza    Singapore ,0.276253185,SHENG SIONG SUPERMARKET PTE LTD,0.116773025,Blk 724 Ang Mo Kio Ave 6,0.342828209,9.737554584
23,126 ANG MO KIO AVE 3,560126,1.3716499,103.8436442,126 ANG MO KIO AVENUE 3 SINGAPORE 560126,"(1.3716499, 103.8436442)",Ang Mo Kio,0.684990926,Broadway   Plaza    Singapore ,0.26091884,SHENG SIONG SUPERMARKET PTE LTD,0.164505133,Blk 724 Ang Mo Kio Ave 6,0.325352523,9.784287348
24,403 ANG MO KIO AVE 10,560403,1.361269015,103.8546424,403 ANG MO KIO AVENUE 10 SINGAPORE 560403,"(1.361269015, 103.85464240000002)",Ang Mo Kio,1.124114189,AMKHub    Singapore ,1.122616074,G8 MART PTE. LTD.,0.494040852,Blk 409 Ang Mo Kio Ave 10,0.185359124,8.596446852
25,404 ANG MO KIO AVE 10,560404,1.361677671,103.8547265,404 ANG MO KIO AVENUE 10 SINGAPORE 560404,"(1.361677671, 103.8547265)",Ang Mo Kio,1.089865415,AMKHub    Singapore ,1.092957855,G8 MART PTE. LTD.,0.456206695,Blk 409 Ang Mo Kio Ave 10,0.140854887,8.642222386
26,405 ANG MO KIO AVE 10,560405,1.361579127,103.8538054,405 ANG MO KIO AVENUE 10 SINGAPORE 560405,"(1.361579127, 103.8538054)",Ang Mo Kio,1.049655221,AMKHub    Singapore ,1.039742753,G8 MART PTE. LTD.,0.433251407,Blk 409 Ang Mo Kio Ave 10,0.218514201,8.627769831
27,417 ANG MO KIO AVE 10,560417,1.364959533,103.8551971,417 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560417,"(1.3649595330000002, 103.85519709999998)",Ang Mo Kio,0.840262897,AMKHub    Singapore ,0.887887672,G8 MART PTE. LTD.,0.25236353,Blk 409 Ang Mo Kio Ave 10,0.244330775,9.009031912
28,418 ANG MO KIO AVE 10,560418,1.364946014,103.8540434,418 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560418,"(1.364946014, 103.8540434)",Ang Mo Kio,0.75116686,AMKHub    Singapore ,0.783741645,G8 MART PTE. LTD.,0.129197442,Blk 409 Ang Mo Kio Ave 10,0.283442491,9.002763713
