listingID,listingURL,imgURL,ListingName,BuiltYear,RemainingLease,FlatType,FloorArea,Price
23446280,https://www.propertyguru.com.sg/listing/hdb-for-sale-7-telok-blangah-crescent-23446280,https://sg2-cdn.pgimgs.com/listing/23446280/UPHO.128107293.R400X300/7-Telok-Blangah-Crescent-Harbourfront-Telok-Blangah-Singapore.jpg,7 Telok Blangah Crescent,1974,52,1 ROOM,31.02964538875315,210000
23472378,https://www.propertyguru.com.sg/listing/hdb-for-sale-hdb-bedok-shop-house-23472378,https://sg1-cdn.pgimgs.com/listing/23472378/UPHO.128456456.R400X300/HDB-Bedok-Shop-House-537-Bedok-North-3-Singapore.jpg,537 Bedok North 3,1937,15,1 ROOM,134.98824775406683,1600000
22949287,https://www.propertyguru.com.sg/listing/hdb-for-sale-64-tiong-poh-road-22949287,https://sg2-cdn.pgimgs.com/listing/22949287/UPHO.121288923.R400X300/64-Tiong-Poh-Road-Alexandra-Commonwealth-Singapore.jpg,64 Tiong Poh Road,1974,52,1 ROOM,116.96504055221621,1500000
23325558,https://www.propertyguru.com.sg/listing/hdb-for-sale-7-telok-blangah-crescent-23325558,https://sg2-cdn.pgimgs.com/listing/23325558/UPHO.126587043.R400X300/7-Telok-Blangah-Crescent-Harbourfront-Telok-Blangah-Singapore.jpg,7 Telok Blangah Crescent,1974,52,1 ROOM,31.02964538875315,230000
23474829,https://www.propertyguru.com.sg/listing/hdb-for-sale-424a-yishun-avenue-11-23474829,https://sg2-cdn.pgimgs.com/listing/23474829/UPHO.128486405.R400X300/424A-Yishun-Avenue-11-Sembawang-Yishun-Singapore.jpg,424A Yishun Avenue 11,2014,92,2 ROOM,46.91608060275551,268000
23339928,https://www.propertyguru.com.sg/listing/hdb-for-sale-26-ghim-moh-link-23339928,https://sg1-cdn.pgimgs.com/listing/23339928/UPHO.126757126.R400X300/26-Ghim-Moh-Link-Tanglin-Holland-Bukit-Timah-Singapore.jpg,26 Ghim Moh Link,2011,89,2 ROOM,47.00898373266195,460000
23469736,https://www.propertyguru.com.sg/listing/hdb-for-sale-26-ghim-moh-link-23469736,https://sg2-cdn.pgimgs.com/listing/23469736/UPHO.128421135.R400X300/26-Ghim-Moh-Link-Tanglin-Holland-Bukit-Timah-Singapore.jpg,26 Ghim Moh Link,2011,89,2 ROOM,47.00898373266195,400000
23469665,https://www.propertyguru.com.sg/listing/hdb-for-sale-95a-henderson-road-23469665,https://sg2-cdn.pgimgs.com/listing/23469665/UPHO.128420239.R400X300/95A-Henderson-Road-Alexandra-Commonwealth-Singapore.jpg,95A Henderson Road,2018,96,2 ROOM,47.00898373266195,498000
23447591,https://www.propertyguru.com.sg/listing/hdb-for-sale-180a-boon-lay-drive-23447591,https://sg1-cdn.pgimgs.com/listing/23447591/UPHO.128391266.R400X300/180A-Boon-Lay-Drive-Boon-Lay-Jurong-Tuas-Singapore.jpg,180A Boon Lay Drive,2012,90,2 ROOM,47.00898373266195,245000
23472894,https://www.propertyguru.com.sg/listing/hdb-for-sale-443c-fernvale-road-23472894,https://sg2-cdn.pgimgs.com/listing/23472894/UPHO.128463053.R400X300/443C-Fernvale-Road-Seletar-Yio-Chu-Kang-Singapore.jpg,443C Fernvale Road,2011,89,2 ROOM,47.00898373266195,300000
23472530,https://www.propertyguru.com.sg/listing/hdb-for-sale-180a-boon-lay-drive-23472530,https://sg1-cdn.pgimgs.com/listing/23472530/UPHO.128458394.R400X300/180A-Boon-Lay-Drive-Boon-Lay-Jurong-Tuas-Singapore.jpg,180A Boon Lay Drive,2012,90,2 ROOM,47.00898373266195,318000
23465597,https://www.propertyguru.com.sg/listing/hdb-for-sale-809b-choa-chu-kang-avenue-1-23465597,https://sg2-cdn.pgimgs.com/listing/23465597/UPHO.128433847.R400X300/809B-Choa-Chu-Kang-Avenue-1-Dairy-Farm-Bukit-Panjang-Choa-Chu-Kang-Singapore.jpg,809B Choa Chu Kang Avenue 1,2015,93,2 ROOM,47.28769312238129,290000
23468869,https://www.propertyguru.com.sg/listing/hdb-for-sale-52-lorong-6-toa-payoh-23468869,https://sg1-cdn.pgimgs.com/listing/23468869/UPHO.128409622.R400X300/52-Lorong-6-Toa-Payoh-Balestier-Toa-Payoh-Singapore.jpg,52 Lorong 6 Toa Payoh,1966,44,2 ROOM,40.041248989678465,210000
23454724,https://www.propertyguru.com.sg/listing/hdb-for-sale-52-lorong-6-toa-payoh-23454724,https://sg2-cdn.pgimgs.com/listing/23454724/UPHO.128218385.R400X300/52-Lorong-6-Toa-Payoh-Balestier-Toa-Payoh-Singapore.jpg,52 Lorong 6 Toa Payoh,1966,44,2 ROOM,40.041248989678465,210000
23454721,https://www.propertyguru.com.sg/listing/hdb-for-sale-52-lorong-6-toa-payoh-23454721,https://sg1-cdn.pgimgs.com/listing/23454721/UPHO.128218300.R400X300/52-Lorong-6-Toa-Payoh-Balestier-Toa-Payoh-Singapore.jpg,52 Lorong 6 Toa Payoh,1966,44,2 ROOM,40.041248989678465,210000
23454715,https://www.propertyguru.com.sg/listing/hdb-for-sale-52-lorong-6-toa-payoh-23454715,https://sg1-cdn.pgimgs.com/listing/23454715/UPHO.128218204.R400X300/52-Lorong-6-Toa-Payoh-Balestier-Toa-Payoh-Singapore.jpg,52 Lorong 6 Toa Payoh,1966,44,2 ROOM,40.041248989678465,210000
23463699,https://www.propertyguru.com.sg/listing/hdb-for-sale-508-jurong-west-street-52-23463699,https://sg2-cdn.pgimgs.com/listing/23463699/UPHO.128338699.R400X300/508-Jurong-West-Street-52-Boon-Lay-Jurong-Tuas-Singapore.jpg,508 Jurong West Street 52,1984,62,2 ROOM,91.04506730831763,390000
23468576,https://www.propertyguru.com.sg/listing/hdb-for-sale-528a-pasir-ris-street-51-23468576,https://sg1-cdn.pgimgs.com/listing/23468576/UPHO.128405702.R400X300/528A-Pasir-Ris-Street-51-Pasir-Ris-Tampines-Singapore.jpg,528A Pasir Ris Street 51,2012,90,2 ROOM,47.00898373266195,300000
23375218,https://www.propertyguru.com.sg/listing/hdb-for-sale-8-jalan-kukoh-23375218,https://sg2-cdn.pgimgs.com/listing/23375218/UPHO.127173273.R400X300/8-Jalan-Kukoh-Alexandra-Commonwealth-Singapore.jpg,8 Jalan Kukoh,1970,48,2 ROOM,53.04768717658098,298000
