Timestamp,Rank (1st: Most Important ;  5th: Least Important) [1st Choice],Rank (1st: Most Important ;  5th: Least Important) [2nd Choice],Rank (1st: Most Important ;  5th: Least Important) [3rd Choice],Rank (1st: Most Important ;  5th: Least Important) [4th Choice],Rank (1st: Most Important ;  5th: Least Important) [5th Choice]
2021/04/10 1:35:03 PM GMT+8,Ease of Access to LRT/MRT Station,Distance to Hawker Centre,Distance to Mall,Age of Flat,Distance to City Centre (Orchard)
2021/04/10 1:35:08 PM GMT+8,Ease of Access to LRT/MRT Station,Distance to Hawker Centre,Distance to Mall,Distance to City Centre (Orchard),Age of Flat
2021/04/10 1:37:04 PM GMT+8,Age of Flat,Ease of Access to LRT/MRT Station,Distance to Mall,Distance to Hawker Centre,Distance to City Centre (Orchard)
2021/04/10 1:38:29 PM GMT+8,Distance to Hawker Centre,Ease of Access to LRT/MRT Station,Age of Flat,Distance to Mall,Distance to City Centre (Orchard)
2021/04/10 1:41:57 PM GMT+8,Distance to Hawker Centre,Ease of Access to LRT/MRT Station,Distance to Mall,Distance to City Centre (Orchard),Age of Flat
2021/04/10 1:42:42 PM GMT+8,Ease of Access to LRT/MRT Station,Distance to Mall,Age of Flat,Distance to Hawker Centre,Distance to City Centre (Orchard)
2021/04/10 1:44:02 PM GMT+8,Age of Flat,Ease of Access to LRT/MRT Station,Distance to Mall,Distance to City Centre (Orchard),Distance to Hawker Centre
2021/04/10 1:44:22 PM GMT+8,Age of Flat,Distance to City Centre (Orchard),Distance to Hawker Centre,Distance to Mall,Ease of Access to LRT/MRT Station
2021/04/10 1:44:25 PM GMT+8,Ease of Access to LRT/MRT Station,Distance to Mall,Age of Flat,Distance to City Centre (Orchard),Distance to Hawker Centre
2021/04/10 1:44:30 PM GMT+8,Age of Flat,Ease of Access to LRT/MRT Station,Distance to City Centre (Orchard),Distance to Hawker Centre,Distance to Mall
2021/04/10 1:48:54 PM GMT+8,Ease of Access to LRT/MRT Station,Age of Flat,Distance to Mall,Distance to Hawker Centre,Distance to City Centre (Orchard)
2021/04/10 1:50:50 PM GMT+8,Age of Flat,Ease of Access to LRT/MRT Station,Distance to Hawker Centre,Distance to Mall,Distance to City Centre (Orchard)
2021/04/10 1:55:25 PM GMT+8,Ease of Access to LRT/MRT Station,Distance to Mall,Distance to Hawker Centre,Age of Flat,Distance to City Centre (Orchard)
2021/04/10 1:59:31 PM GMT+8,Distance to City Centre (Orchard),Ease of Access to LRT/MRT Station,Age of Flat,Distance to Mall,Distance to Hawker Centre
2021/04/10 2:00:23 PM GMT+8,Ease of Access to LRT/MRT Station,Distance to Hawker Centre,Distance to Mall,Distance to City Centre (Orchard),Age of Flat
2021/04/10 2:00:24 PM GMT+8,Distance to Hawker Centre,Distance to Mall,Distance to City Centre (Orchard),Ease of Access to LRT/MRT Station,Age of Flat
2021/04/10 2:01:06 PM GMT+8,Ease of Access to LRT/MRT Station,Distance to Hawker Centre,Distance to Mall,Distance to City Centre (Orchard),Age of Flat
2021/04/10 2:02:08 PM GMT+8,Age of Flat,Distance to City Centre (Orchard),Distance to Mall,Distance to Hawker Centre,Ease of Access to LRT/MRT Station
2021/04/10 2:02:46 PM GMT+8,Age of Flat,Ease of Access to LRT/MRT Station,Distance to Hawker Centre,Distance to Mall,Distance to City Centre (Orchard)
2021/04/10 2:08:03 PM GMT+8,Ease of Access to LRT/MRT Station,Distance to Hawker Centre,Age of Flat,Distance to Mall,Distance to City Centre (Orchard)
2021/04/10 2:09:35 PM GMT+8,Age of Flat,Distance to Hawker Centre,Distance to City Centre (Orchard),Ease of Access to LRT/MRT Station,Distance to Mall
2021/04/10 2:10:22 PM GMT+8,Ease of Access to LRT/MRT Station,Distance to Mall,Age of Flat,Distance to Hawker Centre,Distance to City Centre (Orchard)
2021/04/10 2:10:30 PM GMT+8,Ease of Access to LRT/MRT Station,Age of Flat,Distance to Hawker Centre,Distance to Mall,Distance to City Centre (Orchard)
2021/04/10 2:11:08 PM GMT+8,Ease of Access to LRT/MRT Station,Age of Flat,Distance to Hawker Centre,Distance to City Centre (Orchard),Distance to Mall
2021/04/10 2:22:37 PM GMT+8,Age of Flat,Ease of Access to LRT/MRT Station,Distance to Mall,Distance to Hawker Centre,Distance to City Centre (Orchard)
2021/04/10 2:28:03 PM GMT+8,Age of Flat,Ease of Access to LRT/MRT Station,Distance to Hawker Centre,Distance to City Centre (Orchard),Distance to Mall
2021/04/10 2:28:13 PM GMT+8,Age of Flat,Ease of Access to LRT/MRT Station,Distance to Hawker Centre,Distance to Mall,Distance to City Centre (Orchard)
2021/04/10 2:29:14 PM GMT+8,Age of Flat,Distance to Hawker Centre,Ease of Access to LRT/MRT Station,Distance to Mall,Distance to City Centre (Orchard)
2021/04/10 2:29:44 PM GMT+8,Ease of Access to LRT/MRT Station,Distance to Mall,Distance to Hawker Centre,Age of Flat,Distance to City Centre (Orchard)
2021/04/10 2:37:31 PM GMT+8,Ease of Access to LRT/MRT Station,Age of Flat,Distance to Mall,Distance to Hawker Centre,Distance to City Centre (Orchard)
2021/04/10 2:38:59 PM GMT+8,Ease of Access to LRT/MRT Station,Age of Flat,Distance to Hawker Centre,Distance to Mall,Distance to City Centre (Orchard)
2021/04/10 2:54:15 PM GMT+8,Ease of Access to LRT/MRT Station,Distance to City Centre (Orchard),Distance to Hawker Centre,Distance to Mall,Age of Flat
2021/04/10 3:11:47 PM GMT+8,Ease of Access to LRT/MRT Station,Age of Flat,Distance to Mall,Distance to Hawker Centre,Distance to City Centre (Orchard)
2021/04/10 3:15:47 PM GMT+8,Age of Flat,Ease of Access to LRT/MRT Station,Distance to Hawker Centre,Distance to Mall,Distance to City Centre (Orchard)
2021/04/10 3:17:03 PM GMT+8,Ease of Access to LRT/MRT Station,Age of Flat,Distance to Mall,Distance to City Centre (Orchard),Distance to Hawker Centre
2021/04/10 3:26:30 PM GMT+8,Ease of Access to LRT/MRT Station,Age of Flat,Distance to Mall,Distance to City Centre (Orchard),Distance to Hawker Centre
2021/04/10 3:27:01 PM GMT+8,Age of Flat,Ease of Access to LRT/MRT Station,Distance to Hawker Centre,Distance to Mall,Distance to City Centre (Orchard)
2021/04/10 3:29:32 PM GMT+8,Age of Flat,Ease of Access to LRT/MRT Station,Distance to City Centre (Orchard),Distance to Mall,Distance to Hawker Centre
2021/04/10 3:34:13 PM GMT+8,Ease of Access to LRT/MRT Station,Distance to City Centre (Orchard),Age of Flat,Distance to Hawker Centre,Distance to Mall
2021/04/10 3:35:13 PM GMT+8,Ease of Access to LRT/MRT Station,Age of Flat,Distance to Hawker Centre,Distance to Mall,Distance to City Centre (Orchard)
2021/04/10 3:49:32 PM GMT+8,Ease of Access to LRT/MRT Station,Distance to Mall,Distance to City Centre (Orchard),Distance to Hawker Centre,Age of Flat
2021/04/10 4:19:48 PM GMT+8,Age of Flat,Ease of Access to LRT/MRT Station,Distance to Mall,Distance to Hawker Centre,Distance to City Centre (Orchard)
2021/04/10 4:19:48 PM GMT+8,Age of Flat,Ease of Access to LRT/MRT Station,Distance to Mall,Distance to City Centre (Orchard),Distance to Hawker Centre
2021/04/10 4:23:17 PM GMT+8,Ease of Access to LRT/MRT Station,Age of Flat,Distance to Hawker Centre,Distance to Mall,Distance to City Centre (Orchard)
2021/04/10 4:41:32 PM GMT+8,Ease of Access to LRT/MRT Station,Distance to Mall,Distance to Hawker Centre,Age of Flat,Distance to City Centre (Orchard)
2021/04/10 4:42:55 PM GMT+8,Age of Flat,Ease of Access to LRT/MRT Station,Distance to City Centre (Orchard),Distance to Hawker Centre,Distance to Mall
2021/04/10 4:45:08 PM GMT+8,Age of Flat,Ease of Access to LRT/MRT Station,Distance to Mall,Distance to Hawker Centre,Distance to City Centre (Orchard)
2021/04/10 4:47:24 PM GMT+8,Distance to Hawker Centre,Distance to Mall,Ease of Access to LRT/MRT Station,Age of Flat,Distance to City Centre (Orchard)
2021/04/10 4:47:43 PM GMT+8,Age of Flat,Ease of Access to LRT/MRT Station,Distance to Mall,Distance to Hawker Centre,Distance to City Centre (Orchard)
2021/04/10 5:03:19 PM GMT+8,Ease of Access to LRT/MRT Station,Distance to Hawker Centre,Distance to City Centre (Orchard),Distance to Mall,Age of Flat
2021/04/10 5:23:08 PM GMT+8,Age of Flat,Ease of Access to LRT/MRT Station,Distance to City Centre (Orchard),Distance to Hawker Centre,Distance to Mall
2021/04/10 5:39:32 PM GMT+8,Age of Flat,Distance to City Centre (Orchard),Distance to Hawker Centre,Distance to Mall,Ease of Access to LRT/MRT Station
