listingID,listingURL,imgURL,ListingName,FlatType,FloorArea,Price
23446280,https://www.propertyguru.com.sg/listing/hdb-for-sale-7-telok-blangah-crescent-23446280,https://sg2-cdn.pgimgs.com/listing/23446280/UPHO.128107293.R400X300/7-Telok-Blangah-Crescent-Harbourfront-Telok-Blangah-Singapore.jpg,7 Telok Blangah Crescent,1R,334 sqft,"210,000"
21170718,https://www.propertyguru.com.sg/listing/hdb-for-sale-7-telok-blangah-crescent-21170718,https://sg1-cdn.pgimgs.com/listing/21170718/UPHO.97527566.R400X300/7-Telok-Blangah-Crescent-Harbourfront-Telok-Blangah-Singapore.jpg,7 Telok Blangah Crescent,1R,334 sqft,"210,000"
23441678,https://www.propertyguru.com.sg/listing/hdb-for-sale-93-commonwealth-drive-23441678,https://sg2-cdn.pgimgs.com/listing/23441678/UPHO.128132079.R400X300/93-Commonwealth-Drive-Alexandra-Commonwealth-Singapore.jpg,93 Commonwealth Drive,1R,517 sqft,"250,000"
23436475,https://www.propertyguru.com.sg/listing/hdb-for-sale-48-lower-delta-road-23436475,https://sg2-cdn.pgimgs.com/listing/23436475/UPHO.127976015.R400X300/48-Lower-Delta-Road-Alexandra-Commonwealth-Singapore.jpg,48 Lower Delta Road,1R,495 sqft,"238,000"
23447591,https://www.propertyguru.com.sg/listing/hdb-for-sale-180a-boon-lay-drive-23447591,,180A Boon Lay Drive,2A,506 sqft,"240,000"
22221354,https://www.propertyguru.com.sg/listing/hdb-for-sale-79-chay-yan-street-22221354,https://sg1-cdn.pgimgs.com/listing/22221354/UPHO.113482128.R400X300/79-Chay-Yan-Street-Alexandra-Commonwealth-Singapore.jpg,79 Chay Yan Street,2A,1050 sqft,"1,388,888"
23445919,https://www.propertyguru.com.sg/listing/hdb-for-sale-623b-punggol-central-23445919,https://sg2-cdn.pgimgs.com/listing/23445919/UPHO.128102509.R400X300/623B-Punggol-Central-Hougang-Punggol-Sengkang-Singapore.jpg,623B Punggol Central,2A,495 sqft,"280,000"
23405235,https://www.propertyguru.com.sg/listing/hdb-for-sale-26-ghim-moh-link-23405235,https://sg1-cdn.pgimgs.com/listing/23405235/UPHO.127582738.R400X300/26-Ghim-Moh-Link-Tanglin-Holland-Bukit-Timah-Singapore.jpg,26 Ghim Moh Link,2A,505 sqft,"358,000"
23439052,https://www.propertyguru.com.sg/listing/hdb-for-sale-488-segar-road-23439052,https://sg1-cdn.pgimgs.com/listing/23439052/UPHO.128109808.R400X300/488-Segar-Road-Dairy-Farm-Bukit-Panjang-Choa-Chu-Kang-Singapore.jpg,488 Segar Road,2A,506 sqft,"250,000"
23375218,https://www.propertyguru.com.sg/listing/hdb-for-sale-8-jalan-kukoh-23375218,https://sg2-cdn.pgimgs.com/listing/23375218/UPHO.127173273.R400X300/8-Jalan-Kukoh-Alexandra-Commonwealth-Singapore.jpg,8 Jalan Kukoh,2A,571 sqft,"298,000"
22514539,https://www.propertyguru.com.sg/listing/hdb-for-sale-48-lower-delta-road-22514539,https://sg1-cdn.pgimgs.com/listing/22514539/UPHO.125138508.R400X300/48-Lower-Delta-Road-Alexandra-Commonwealth-Singapore.jpg,48 Lower Delta Road,2A,495 sqft,"240,000"
23437309,https://www.propertyguru.com.sg/listing/hdb-for-sale-256c-sumang-walk-23437309,https://sg2-cdn.pgimgs.com/listing/23437309/UPHO.127987113.R400X300/256C-Sumang-Walk-Hougang-Punggol-Sengkang-Singapore.jpg,256C Sumang Walk,2A,505 sqft,"310,000"
22733425,https://www.propertyguru.com.sg/listing/hdb-for-sale-547c-segar-road-22733425,https://sg2-cdn.pgimgs.com/listing/22733425/UPHO.119000255.R400X300/547C-Segar-Road-Dairy-Farm-Bukit-Panjang-Choa-Chu-Kang-Singapore.jpg,547C Segar Road,2A,506 sqft,"280,000"
23415385,https://www.propertyguru.com.sg/listing/hdb-for-sale-447b-jalan-kayu-23415385,https://sg1-cdn.pgimgs.com/listing/23415385/UPHO.127714284.R400X300/447B-Jalan-Kayu-Seletar-Yio-Chu-Kang-Singapore.jpg,447B Jalan Kayu,2A,505 sqft,"300,000"
23408448,https://www.propertyguru.com.sg/listing/hdb-for-sale-423-clementi-avenue-1-23408448,https://sg1-cdn.pgimgs.com/listing/23408448/UPHO.127626190.R400X300/423-Clementi-Avenue-1-Buona-Vista-West-Coast-Clementi-New-Town-Singapore.jpg,423 Clementi Avenue 1,2A,538 sqft,"348,000"
23427314,https://www.propertyguru.com.sg/listing/hdb-for-sale-366a-sembawang-crescent-23427314,https://sg1-cdn.pgimgs.com/property/23658/PPHO.107107708.R400X300/366A-Sembawang-Crescent-Sembawang-Yishun-Singapore.jpg,366A Sembawang Crescent,2A,516 sqft,"300,000"
23401494,https://www.propertyguru.com.sg/listing/hdb-for-sale-127c-kim-tian-road-23401494,https://sg1-cdn.pgimgs.com/listing/23401494/UPHO.127533968.R400X300/127C-Kim-Tian-Road-Alexandra-Commonwealth-Singapore.jpg,127C Kim Tian Road,2A,506 sqft,"458,000"
23346532,https://www.propertyguru.com.sg/listing/hdb-for-sale-7-saint-george-s-lane-23346532,https://sg2-cdn.pgimgs.com/listing/23346532/UPHO.126834667.R400X300/7-Saint-George-s-Lane-Balestier-Toa-Payoh-Singapore.jpg,7 Saint George's Lane,2A,484 sqft,"255,000"
