month,level_1,level_2,value
1961-01,All Items,Food,21.762
1961-01,All Items,Food Excl Food Serving Services,na
1961-01,All Items,Food Serving Services,na
1961-01,All Items,Clothing & Footwear,54.08
1961-01,All Items,Housing & Utilities,26.553
1961-01,All Items,Household Durables & Services,31.896
1961-01,All Items,Health Care,18.604
1961-01,All Items,Transport,20.538
1961-01,All Items,Communication,89.155
1961-01,All Items,Recreation & Culture,49.124
1961-01,All Items,Education,14.874
1961-01,All Items,Miscellaneous Goods & Services,18.841
1961-02,All Items,Food,21.777
1961-02,All Items,Food Excl Food Serving Services,na
1961-02,All Items,Food Serving Services,na
1961-02,All Items,Clothing & Footwear,54.08
1961-02,All Items,Housing & Utilities,26.669
1961-02,All Items,Household Durables & Services,31.853
1961-02,All Items,Health Care,18.604
1961-02,All Items,Transport,20.538
1961-02,All Items,Communication,89.155
1961-02,All Items,Recreation & Culture,49.124
1961-02,All Items,Education,14.874
1961-02,All Items,Miscellaneous Goods & Services,18.845
1961-03,All Items,Food,21.82
1961-03,All Items,Food Excl Food Serving Services,na
1961-03,All Items,Food Serving Services,na
1961-03,All Items,Clothing & Footwear,54.123
1961-03,All Items,Housing & Utilities,26.553
1961-03,All Items,Household Durables & Services,32.214
1961-03,All Items,Health Care,18.604
1961-03,All Items,Transport,20.538
1961-03,All Items,Communication,89.155
1961-03,All Items,Recreation & Culture,49.124
1961-03,All Items,Education,14.874
1961-03,All Items,Miscellaneous Goods & Services,18.837
1961-04,All Items,Food,21.172
1961-04,All Items,Food Excl Food Serving Services,na
1961-04,All Items,Food Serving Services,na
1961-04,All Items,Clothing & Footwear,54.108
1961-04,All Items,Housing & Utilities,26.65
1961-04,All Items,Household Durables & Services,32.507
1961-04,All Items,Health Care,18.604
1961-04,All Items,Transport,20.538
1961-04,All Items,Communication,89.155
1961-04,All Items,Recreation & Culture,49.124
1961-04,All Items,Education,14.874
1961-04,All Items,Miscellaneous Goods & Services,18.837
1961-05,All Items,Food,20.967
1961-05,All Items,Food Excl Food Serving Services,na
1961-05,All Items,Food Serving Services,na
1961-05,All Items,Clothing & Footwear,53.843
1961-05,All Items,Housing & Utilities,26.728
1961-05,All Items,Household Durables & Services,32.338
1961-05,All Items,Health Care,18.604
1961-05,All Items,Transport,20.538
1961-05,All Items,Communication,89.155
1961-05,All Items,Recreation & Culture,49.124
1961-05,All Items,Education,14.874
1961-05,All Items,Miscellaneous Goods & Services,18.822
1961-06,All Items,Food,21.242
1961-06,All Items,Food Excl Food Serving Services,na
1961-06,All Items,Food Serving Services,na
1961-06,All Items,Clothing & Footwear,53.652
1961-06,All Items,Housing & Utilities,26.728
1961-06,All Items,Household Durables & Services,32.307
1961-06,All Items,Health Care,18.604
1961-06,All Items,Transport,20.538
1961-06,All Items,Communication,89.155
1961-06,All Items,Recreation & Culture,49.124
1961-06,All Items,Education,14.874
1961-06,All Items,Miscellaneous Goods & Services,18.822
1961-07,All Items,Food,21.323
1961-07,All Items,Food Excl Food Serving Services,na
1961-07,All Items,Food Serving Services,na
1961-07,All Items,Clothing & Footwear,53.847
1961-07,All Items,Housing & Utilities,26.728
1961-07,All Items,Household Durables & Services,32.038
1961-07,All Items,Health Care,18.604
1961-07,All Items,Transport,20.538
1961-07,All Items,Communication,89.155
1961-07,All Items,Recreation & Culture,49.124
1961-07,All Items,Education,14.874
1961-07,All Items,Miscellaneous Goods & Services,18.822
1961-08,All Items,Food,21.699
1961-08,All Items,Food Excl Food Serving Services,na
1961-08,All Items,Food Serving Services,na
1961-08,All Items,Clothing & Footwear,53.847
1961-08,All Items,Housing & Utilities,26.728
1961-08,All Items,Household Durables & Services,32.038
1961-08,All Items,Health Care,18.604
1961-08,All Items,Transport,20.538
1961-08,All Items,Communication,89.155
1961-08,All Items,Recreation & Culture,49.124
1961-08,All Items,Education,14.874
1961-08,All Items,Miscellaneous Goods & Services,18.822
1961-09,All Items,Food,21.506
1961-09,All Items,Food Excl Food Serving Services,na
1961-09,All Items,Food Serving Services,na
1961-09,All Items,Clothing & Footwear,53.789
1961-09,All Items,Housing & Utilities,26.728
1961-09,All Items,Household Durables & Services,32.033
1961-09,All Items,Health Care,18.604
1961-09,All Items,Transport,20.538
1961-09,All Items,Communication,89.155
1961-09,All Items,Recreation & Culture,49.124
1961-09,All Items,Education,14.874
1961-09,All Items,Miscellaneous Goods & Services,18.837
1961-10,All Items,Food,21.614
1961-10,All Items,Food Excl Food Serving Services,na
1961-10,All Items,Food Serving Services,na
1961-10,All Items,Clothing & Footwear,53.789
1961-10,All Items,Housing & Utilities,26.728
1961-10,All Items,Household Durables & Services,32.033
1961-10,All Items,Health Care,18.604
1961-10,All Items,Transport,20.538
1961-10,All Items,Communication,89.155
1961-10,All Items,Recreation & Culture,49.124
1961-10,All Items,Education,14.874
1961-10,All Items,Miscellaneous Goods & Services,18.837
1961-11,All Items,Food,21.703
1961-11,All Items,Food Excl Food Serving Services,na
1961-11,All Items,Food Serving Services,na
1961-11,All Items,Clothing & Footwear,53.664
1961-11,All Items,Housing & Utilities,26.769
1961-11,All Items,Household Durables & Services,32.033
1961-11,All Items,Health Care,18.604
1961-11,All Items,Transport,20.538
1961-11,All Items,Communication,89.155
1961-11,All Items,Recreation & Culture,49.124
1961-11,All Items,Education,14.874
1961-11,All Items,Miscellaneous Goods & Services,18.837
1961-12,All Items,Food,21.678
1961-12,All Items,Food Excl Food Serving Services,na
1961-12,All Items,Food Serving Services,na
1961-12,All Items,Clothing & Footwear,53.347
1961-12,All Items,Housing & Utilities,26.694
1961-12,All Items,Household Durables & Services,32.026
1961-12,All Items,Health Care,18.604
1961-12,All Items,Transport,20.522
1961-12,All Items,Communication,89.155
1961-12,All Items,Recreation & Culture,49.124
1961-12,All Items,Education,14.874
1961-12,All Items,Miscellaneous Goods & Services,18.837
1962-01,All Items,Food,21.866
1962-01,All Items,Food Excl Food Serving Services,na
1962-01,All Items,Food Serving Services,na
1962-01,All Items,Clothing & Footwear,54.08
1962-01,All Items,Housing & Utilities,26.769
1962-01,All Items,Household Durables & Services,32.154
1962-01,All Items,Health Care,18.701
1962-01,All Items,Transport,20.522
1962-01,All Items,Communication,89.155
1962-01,All Items,Recreation & Culture,49.124
1962-01,All Items,Education,14.93
1962-01,All Items,Miscellaneous Goods & Services,18.837
1962-02,All Items,Food,22.101
1962-02,All Items,Food Excl Food Serving Services,na
1962-02,All Items,Food Serving Services,na
1962-02,All Items,Clothing & Footwear,53.704
1962-02,All Items,Housing & Utilities,26.752
1962-02,All Items,Household Durables & Services,32.17
1962-02,All Items,Health Care,18.604
1962-02,All Items,Transport,20.522
1962-02,All Items,Communication,89.155
1962-02,All Items,Recreation & Culture,49.124
1962-02,All Items,Education,14.93
1962-02,All Items,Miscellaneous Goods & Services,18.837
1962-03,All Items,Food,21.565
1962-03,All Items,Food Excl Food Serving Services,na
1962-03,All Items,Food Serving Services,na
1962-03,All Items,Clothing & Footwear,53.589
1962-03,All Items,Housing & Utilities,26.694
1962-03,All Items,Household Durables & Services,32.14
1962-03,All Items,Health Care,18.604
1962-03,All Items,Transport,20.522
1962-03,All Items,Communication,89.155
1962-03,All Items,Recreation & Culture,49.124
1962-03,All Items,Education,14.93
1962-03,All Items,Miscellaneous Goods & Services,18.837
1962-04,All Items,Food,21.373
1962-04,All Items,Food Excl Food Serving Services,na
1962-04,All Items,Food Serving Services,na
1962-04,All Items,Clothing & Footwear,53.704
1962-04,All Items,Housing & Utilities,26.694
1962-04,All Items,Household Durables & Services,32.13
1962-04,All Items,Health Care,18.604
1962-04,All Items,Transport,20.522
1962-04,All Items,Communication,89.155
1962-04,All Items,Recreation & Culture,49.124
1962-04,All Items,Education,14.93
1962-04,All Items,Miscellaneous Goods & Services,18.822
1962-05,All Items,Food,21.368
1962-05,All Items,Food Excl Food Serving Services,na
1962-05,All Items,Food Serving Services,na
1962-05,All Items,Clothing & Footwear,53.704
1962-05,All Items,Housing & Utilities,26.918
1962-05,All Items,Household Durables & Services,32.115
1962-05,All Items,Health Care,18.604
1962-05,All Items,Transport,20.522
1962-05,All Items,Communication,89.155
1962-05,All Items,Recreation & Culture,49.124
1962-05,All Items,Education,14.93
1962-05,All Items,Miscellaneous Goods & Services,18.822
1962-06,All Items,Food,21.547
1962-06,All Items,Food Excl Food Serving Services,na
1962-06,All Items,Food Serving Services,na
1962-06,All Items,Clothing & Footwear,53.704
1962-06,All Items,Housing & Utilities,26.918
1962-06,All Items,Household Durables & Services,32.115
1962-06,All Items,Health Care,18.604
1962-06,All Items,Transport,20.522
1962-06,All Items,Communication,89.155
1962-06,All Items,Recreation & Culture,49.124
1962-06,All Items,Education,14.93
1962-06,All Items,Miscellaneous Goods & Services,18.822
1962-07,All Items,Food,21.639
1962-07,All Items,Food Excl Food Serving Services,na
1962-07,All Items,Food Serving Services,na
1962-07,All Items,Clothing & Footwear,53.632
1962-07,All Items,Housing & Utilities,26.918
1962-07,All Items,Household Durables & Services,32.14
1962-07,All Items,Health Care,18.604
1962-07,All Items,Transport,20.522
1962-07,All Items,Communication,89.155
1962-07,All Items,Recreation & Culture,49.124
1962-07,All Items,Education,14.93
1962-07,All Items,Miscellaneous Goods & Services,18.823
1962-08,All Items,Food,21.523
1962-08,All Items,Food Excl Food Serving Services,na
1962-08,All Items,Food Serving Services,na
1962-08,All Items,Clothing & Footwear,53.614
1962-08,All Items,Housing & Utilities,26.901
1962-08,All Items,Household Durables & Services,32.176
1962-08,All Items,Health Care,18.604
1962-08,All Items,Transport,20.522
1962-08,All Items,Communication,89.155
1962-08,All Items,Recreation & Culture,49.124
1962-08,All Items,Education,14.93
1962-08,All Items,Miscellaneous Goods & Services,18.823
1962-09,All Items,Food,21.69
1962-09,All Items,Food Excl Food Serving Services,na
1962-09,All Items,Food Serving Services,na
1962-09,All Items,Clothing & Footwear,53.351
1962-09,All Items,Housing & Utilities,26.901
1962-09,All Items,Household Durables & Services,32.164
1962-09,All Items,Health Care,18.604
1962-09,All Items,Transport,20.522
1962-09,All Items,Communication,89.155
1962-09,All Items,Recreation & Culture,49.124
1962-09,All Items,Education,14.93
1962-09,All Items,Miscellaneous Goods & Services,18.822
1962-10,All Items,Food,21.606
1962-10,All Items,Food Excl Food Serving Services,na
1962-10,All Items,Food Serving Services,na
1962-10,All Items,Clothing & Footwear,53.351
1962-10,All Items,Housing & Utilities,26.901
1962-10,All Items,Household Durables & Services,32.164
1962-10,All Items,Health Care,18.604
1962-10,All Items,Transport,20.522
1962-10,All Items,Communication,89.155
1962-10,All Items,Recreation & Culture,49.124
1962-10,All Items,Education,14.93
1962-10,All Items,Miscellaneous Goods & Services,18.822
1962-11,All Items,Food,21.85
1962-11,All Items,Food Excl Food Serving Services,na
1962-11,All Items,Food Serving Services,na
1962-11,All Items,Clothing & Footwear,53.351
1962-11,All Items,Housing & Utilities,26.911
1962-11,All Items,Household Durables & Services,32.176
1962-11,All Items,Health Care,18.604
1962-11,All Items,Transport,20.522
1962-11,All Items,Communication,89.155
1962-11,All Items,Recreation & Culture,49.124
1962-11,All Items,Education,14.93
1962-11,All Items,Miscellaneous Goods & Services,18.822
1962-12,All Items,Food,21.96
1962-12,All Items,Food Excl Food Serving Services,na
1962-12,All Items,Food Serving Services,na
1962-12,All Items,Clothing & Footwear,53.291
