address,postal_code,latitude,longitude,full_address,coordinates,nearest_MRT,MRT_distance,nearest_Mall,Mall_distance,nearest_Market,Market_distance,nearest_Hawker,Hawker_distance,CBD_distance
216 ANG MO KIO AVE 1,560216,1.366196788,103.841505,216 ANG MO KIO AVENUE 1 ANG MO KIO 22 SINGAPORE 560216,"(1.366196788, 103.841505)",Ang Mo Kio,0.994265916423476,Broadway   Plaza    Singapore ,0.8087686393978876,NTUC Fairprice Co-operative Ltd,0.04704573864482369,Blk 226H Ang Mo Kio Street 22,0.18534643487083105,6.376044947481841
211 ANG MO KIO AVE 3,560211,1.369196966,103.8416666,211 ANG MO KIO AVENUE 3 SINGAPORE 560211,"(1.369196966, 103.8416666)",Ang Mo Kio,0.8853696244387197,Broadway   Plaza    Singapore ,0.5674894876113359,SHENG SIONG SUPERMARKET PTE LTD,0.22328405150680658,Blk 226H Ang Mo Kio Street 22,0.2801743875524187,6.7078275993373095
202 ANG MO KIO AVE 3,560202,1.36844644,103.8445163,202 ANG MO KIO AVENUE 3 ANG MO KIO VIEW SINGAPORE 560202,"(1.36844644, 103.8445163)",Ang Mo Kio,0.5904794375407341,Broadway   Plaza    Singapore ,0.4205373695883405,SHENG SIONG SUPERMARKET PTE LTD,0.2292690636315408,Blk 724 Ang Mo Kio Ave 6,0.4728032663161527,6.686610970252062
235 ANG MO KIO AVE 3,560235,1.366823607,103.8364912,235 ANG MO KIO AVENUE 3 PCF SPARKLETOTS PRESCHOOL @ YIO CHU KANG BLK 235 (KN) SINGAPORE 560235,"(1.366823607, 103.8364912)",Ang Mo Kio,1.4987730061316784,Broadway   Plaza    Singapore ,1.1976575063620782,SHENG SIONG SUPERMARKET PTE LTD,0.08531805937062611,Blk 226D Ang Mo Kio Ave 1,0.2947426311533047,6.372726786697087
232 ANG MO KIO AVE 3,560232,1.368346068,103.837196,232 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560232,"(1.368346068, 103.837196)",Ang Mo Kio,1.3901288598707549,Broadway   Plaza    Singapore ,1.0542833768443485,SHENG SIONG SUPERMARKET PTE LTD,0.10204473085136831,Blk 226D Ang Mo Kio Ave 1,0.2756782082965015,6.548443649447046
308 ANG MO KIO AVE 1,561308,1.365483428,103.8440847,308A ANG MO KIO AVENUE 1 TECK GHEE VISTA SINGAPORE 561308,"(1.365483428, 103.8440847)",Ang Mo Kio,0.7932733033281859,AMKHub    Singapore ,0.6425674808296546,NTUC Fairprice Co-operative Ltd,0.2790994268966755,Blk 226H Ang Mo Kio Street 22,0.47550229121182214,6.354586699400536
220 ANG MO KIO AVE 1,560220,1.365588336,103.8405189,220 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560220,"(1.365588336, 103.8405189)",Ang Mo Kio,1.1223858505496345,Broadway   Plaza    Singapore ,0.9305751741692002,NTUC Fairprice Co-operative Ltd,0.17459701353253093,Blk 226H Ang Mo Kio Street 22,0.1813461646672293,6.291131156689078
219 ANG MO KIO AVE 1,560219,1.36598198,103.840654,219 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560219,"(1.36598198, 103.840654)",Ang Mo Kio,1.0901478238677886,Broadway   Plaza    Singapore ,0.8877518764665588,NTUC Fairprice Co-operative Ltd,0.13938213295606885,Blk 226H Ang Mo Kio Street 22,0.14405709883403012,6.336733763744937
320 ANG MO KIO AVE 1,560320,1.365592456,103.8483867,320 ANG MO KIO AVENUE 1 TECK GHEE VISTA SINGAPORE 560320,"(1.365592456, 103.8483867)",Ang Mo Kio,0.5106475401126365,AMKHub    Singapore ,0.4073604253586711,COLD STORAGE SINGAPORE (1983) PTE LTD,0.13336827723396252,Blk 341 Ang Mo Kio Ave 1,0.1975073281079105,6.487858899556945
223 ANG MO KIO AVE 1,560223,1.366048084,103.8381227,223 ANG MO KIO AVENUE 1 SINGAPORE 560223,"(1.366048084, 103.8381227)",Ang Mo Kio,1.3490581878502756,Broadway   Plaza    Singapore ,1.0910589499621222,SHENG SIONG SUPERMARKET PTE LTD,0.22686556842540062,Blk 226D Ang Mo Kio Ave 1,0.14153382744534768,6.305240674953452
230 ANG MO KIO AVE 3,560230,1.368854452,103.8378964,230 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560230,"(1.368854452, 103.8378964)",Ang Mo Kio,1.3061783652191634,Broadway   Plaza    Singapore ,0.9610875277618179,SHENG SIONG SUPERMARKET PTE LTD,0.19383264986541154,Blk 226D Ang Mo Kio Ave 1,0.26621628046185275,6.6125640862131485
329 ANG MO KIO AVE 3,560329,1.366599083,103.8468744,329 ANG MO KIO AVENUE 3 MY FIRST SKOOL SINGAPORE 560329,"(1.366599083, 103.8468744)",Ang Mo Kio,0.48591529149058593,AMKHub    Singapore ,0.34416999752325517,COLD STORAGE SINGAPORE (1983) PTE LTD,0.23690590396200997,Blk 341 Ang Mo Kio Ave 1,0.3337009554353039,6.5493980066274995
313 ANG MO KIO AVE 3,560313,1.366649726,103.8501337,313 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560313,"(1.366649726, 103.8501337)",Ang Mo Kio,0.3801846343820125,AMKHub    Singapore ,0.34405889117770133,NTUC Fairprice Co-operative Ltd,0.32762829291582646,Blk 341 Ang Mo Kio Ave 1,0.38732177014568897,6.658175084255132
117 ANG MO KIO AVE 4,560117,1.373717083,103.8356105,117 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560117,"(1.373717083, 103.8356105)",Yio Chu Kang,1.3683840666150051,Broadway   Plaza    Singapore ,1.1689080791717463,COLD STORAGE SINGAPORE (1983) PTE LTD,0.4540776715525246,Mayflower Market & Food Centre,0.41350771258997243,7.129842925104287
110 ANG MO KIO AVE 4,560110,1.37045937,103.8374193,110 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560110,"(1.37045937, 103.8374193)",Ang Mo Kio,1.353574665444165,Broadway   Plaza    Singapore ,0.9650257874572448,SHENG SIONG SUPERMARKET PTE LTD,0.3322699745786772,Blk 226D Ang Mo Kio Ave 1,0.44873702266715343,6.784729970544373
343 ANG MO KIO AVE 3,560343,1.368374751,103.8491511,343 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560343,"(1.368374751, 103.8491511)",Ang Mo Kio,0.18981799409812375,AMKHub    Singapore ,0.12415759478413013,NTUC Fairprice Co-operative Ltd,0.10700616143937074,Blk 724 Ang Mo Kio Ave 6,0.516013286958437,6.808601621578168
345 ANG MO KIO AVE 3,560345,1.367487025,103.8496517,345 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560345,"(1.367487025, 103.8496517)",Ang Mo Kio,0.2822991578701336,AMKHub    Singapore ,0.23681493159940528,NTUC Fairprice Co-operative Ltd,0.2202492638793324,Blk 341 Ang Mo Kio Ave 1,0.44160006627793325,6.730537230161037
346 ANG MO KIO AVE 3,560346,1.367095869,103.8496623,346 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560346,"(1.367095869, 103.8496623)",Ang Mo Kio,0.3258096638213638,AMKHub    Singapore ,0.27456863549261756,NTUC Fairprice Co-operative Ltd,0.2599356256514066,Blk 341 Ang Mo Kio Ave 1,0.4026065201532263,6.689398387784197
