Shopping_Malls,latitude,longitude,full_address
100 AM Singapore,1.274588218,103.8434707,100 TRAS STREET 100 AM SINGAPORE 079027
313@Somerset Singapore,1.301385102,103.8376844,313 ORCHARD ROAD UOB 313@SOMERSET SINGAPORE 238895
Aperia    Singapore ,1.30974242,103.8641017,12 KALLANG AVENUE JOSIAH BABIES (APERIA) SINGAPORE 339511
Balestier   Hill   Shopping   Centre    Singapore ,1.326124169,103.8437095,2A BALESTIER ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 321002
Bugis   Cube    Singapore ,1.298195005,103.8556555,470 NORTH BRIDGE ROAD BUGIS CUBE SINGAPORE 188735
Bugis   Junction    Singapore ,1.299137172,103.8554503,200 VICTORIA STREET STANDARD CHARTERED BANK BUGIS JUNCTION SINGAPORE 188021
Bugis+    Singapore ,1.299561986,103.8542402,201 VICTORIA STREET FILMGARDE AT BUGIS+ SINGAPORE 188067
Capitol   Piazza    Singapore ,1.293063359,103.8512935,13 STAMFORD ROAD CAPITOL PIAZZA SINGAPORE 178905
Cathay   Cineleisure   Orchard    Singapore ,1.301497434,103.8364448,8 GRANGE ROAD UOB CATHAY CINELEISURE ORCHARD SINGAPORE 239695
Clarke   Quay   Central    Singapore ,1.289293352,103.8465132,"6 Eu Tong Sen St, Singapore 059817"
The   Centrepoint    Singapore ,1.301450455,103.8400341,176 ORCHARD ROAD OCBC THE CENTREPOINT SINGAPORE 238843
City   Square   Mall    Singapore ,1.311196033,103.8566481,180 KITCHENER ROAD DBS CITY SQUARE MALL SINGAPORE 208539
City   Gate   Mall    Singapore ,1.302433242,103.8624917,"371 Beach Rd, Singapore 199597"
City   Link   Mall    Singapore ,1.292378607,103.854663,1 RAFFLES LINK CITYLINK MALL SINGAPORE 039393
Duo    Singapore ,1.299534349,103.8584017,7 FRASER STREET DUO GALLERIA SINGAPORE 189356
Far   East   Plaza    Singapore ,1.307266064,103.8337353,14 SCOTTS ROAD UOB FAR EAST PLAZA SINGAPORE 228213
Funan    Singapore ,1.291575969,103.8494586,67 HILL STREET LYF FUNAN SINGAPORE SINGAPORE 179370
Great   World   City    Singapore ,1.293475962,103.8319759,1 KIM SENG PROMENADE UOB GREAT WORLD CITY SINGAPORE 237994
HDB   Hub   Singapore ,1.332118977,103.8471758,"Blocks 460 to 530, Lor 6 Toa Payoh, Singapore 310460"
Holland   Village   Shopping   Mall    Singapore ,1.3105269,103.7954225,"211 Holland Ave, Singapore 278967"
