address,postal_code,latitude,longitude,full_address
309 ANG MO KIO AVE 1,,,,
216 ANG MO KIO AVE 1,560216,1.366196788,103.841505,216 ANG MO KIO AVENUE 1 ANG MO KIO 22 SINGAPORE 560216
211 ANG MO KIO AVE 3,560211,1.369196966,103.8416666,211 ANG MO KIO AVENUE 3 SINGAPORE 560211
202 ANG MO KIO AVE 3,560202,1.36844644,103.8445163,202 ANG MO KIO AVENUE 3 ANG MO KIO VIEW SINGAPORE 560202
235 ANG MO KIO AVE 3,560235,1.366823607,103.8364912,235 ANG MO KIO AVENUE 3 PCF SPARKLETOTS PRESCHOOL @ YIO CHU KANG BLK 235 (KN) SINGAPORE 560235
232 ANG MO KIO AVE 3,560232,1.368346068,103.837196,232 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560232
308 ANG MO KIO AVE 1,561308,1.365483428,103.8440847,308A ANG MO KIO AVENUE 1 TECK GHEE VISTA SINGAPORE 561308
220 ANG MO KIO AVE 1,560220,1.365588336,103.8405189,220 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560220
219 ANG MO KIO AVE 1,560219,1.36598198,103.840654,219 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560219
247 ANG MO KIO AVE 3,,,,
320 ANG MO KIO AVE 1,560320,1.365592456,103.8483867,320 ANG MO KIO AVENUE 1 TECK GHEE VISTA SINGAPORE 560320
252 ANG MO KIO AVE 4,,,,
223 ANG MO KIO AVE 1,560223,1.366048084,103.8381227,223 ANG MO KIO AVENUE 1 SINGAPORE 560223
230 ANG MO KIO AVE 3,560230,1.368854452,103.8378964,230 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560230
329 ANG MO KIO AVE 3,560329,1.366599083,103.8468744,329 ANG MO KIO AVENUE 3 MY FIRST SKOOL SINGAPORE 560329
313 ANG MO KIO AVE 3,560313,1.366649726,103.8501337,313 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560313
117 ANG MO KIO AVE 4,560117,1.373717083,103.8356105,117 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560117
110 ANG MO KIO AVE 4,560110,1.37045937,103.8374193,110 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560110
343 ANG MO KIO AVE 3,560343,1.368374751,103.8491511,343 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560343
345 ANG MO KIO AVE 3,560345,1.367487025,103.8496517,345 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560345
346 ANG MO KIO AVE 3,560346,1.367095869,103.8496623,346 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560346
121 ANG MO KIO AVE 3,560121,1.369702265,103.8434376,121 ANG MO KIO AVENUE 3 PCF SPARKLETOTS PRESCHOOL @ YIO CHU KANG BLK 121 (KN) SINGAPORE 560121
129 ANG MO KIO AVE 3,560129,1.369894989,103.842059,129 ANG MO KIO AVENUE 3 YIO CHU KANG VILLE SINGAPORE 560129
130 ANG MO KIO AVE 3,560130,1.370397917,103.8418788,130 ANG MO KIO AVENUE 3 YIO CHU KANG VILLE SINGAPORE 560130
128 ANG MO KIO AVE 3,560128,1.370832028,103.843547,128 ANG MO KIO AVENUE 3 SINGAPORE 560128
127 ANG MO KIO AVE 3,560127,1.371223221,103.8435933,127 ANG MO KIO AVENUE 3 SINGAPORE 560127
126 ANG MO KIO AVE 3,560126,1.3716499,103.8436442,126 ANG MO KIO AVENUE 3 SINGAPORE 560126
403 ANG MO KIO AVE 10,560403,1.361269015,103.8546424,403 ANG MO KIO AVENUE 10 SINGAPORE 560403
404 ANG MO KIO AVE 10,560404,1.361677671,103.8547265,404 ANG MO KIO AVENUE 10 SINGAPORE 560404
405 ANG MO KIO AVE 10,560405,1.361579127,103.8538054,405 ANG MO KIO AVENUE 10 SINGAPORE 560405
417 ANG MO KIO AVE 10,560417,1.364959533,103.8551971,417 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560417
418 ANG MO KIO AVE 10,560418,1.364946014,103.8540434,418 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560418
419 ANG MO KIO AVE 10,560419,1.365346697,103.8541518,419 ANG MO KIO AVENUE 10 TECK GHEE HEARTLANDS SINGAPORE 560419
441 ANG MO KIO AVE 10,560441,1.366050278,103.8541683,441 ANG MO KIO AVENUE 10 SINGAPORE 560441
442 ANG MO KIO AVE 10,560442,1.365692415,103.8550979,442 ANG MO KIO AVENUE 10 PCS ANG MO KIO CHILD CARE CENTRE SINGAPORE 560442
443 ANG MO KIO AVE 10,560443,1.366043889,103.855369,443 ANG MO KIO AVENUE 10 SINGAPORE 560443
