name_of_centre,type_of_centre,owner,no_of_stalls,no_of_cooked_food_stalls,no_of_mkt_produce_stalls,postal_code,latitude,longitude,full_address,coordinates
Adam Road Food Centre,HC,Government,32,32,0,289876,1.324082714,103.8141821,2 ADAM ROAD ADAM ROAD FOOD CENTRE SINGAPORE 289876,"(1.324082714, 103.8141821)"
Amoy Street Food Centre,HC,Government,135,134,1,69111,1.27923121,103.8466193,7 MAXWELL ROAD MND COMPLEX (ANNEXE B) SINGAPORE 069111,"(1.27923121, 103.8466193)"
Bedok Food Centre,HC,Government,32,32,0,469572,1.320354084,103.9554719,1 BEDOK ROAD BEDOK FOOD CENTRE SINGAPORE 469572,"(1.320354084, 103.9554719)"
Beo Crescent Market,MHC,Government,94,32,62,169982,1.288840079,103.8274008,38A BEO CRESCENT BEO CRESCENT MARKET SINGAPORE 169982,"(1.288840079, 103.8274008)"
Berseh Food Centre,HC,Government,66,66,0,208877,1.307344109,103.8568888,166 JALAN BESAR DBS BERSEH FOOD CENTRE SINGAPORE 208877,"(1.307344109, 103.8568888)"
Bukit Timah Market,MHC,Government,179,84,95,588215,1.339609749,103.7760889,51 UPPER BUKIT TIMAH ROAD BUKIT TIMAH MARKET SINGAPORE 588215,"(1.339609749, 103.7760889)"
Chomp Chomp Food Centre,HC,Government,36,36,0,557269,1.364223804,103.8665695,20 KENSINGTON PARK ROAD CHOMP CHOMP FOOD CENTRE SINGAPORE 557269,"(1.364223804, 103.8665695)"
Commonwealth Crescent Market,MHC,Government,102,39,63,149644,1.307074788,103.8004325,31 COMMONWEALTH CRESCENT DBS COMMONWEALTH CRESCENT MARKET SINGAPORE 149644,"(1.307074788, 103.8004325)"
Dunman Food Centre,HC,Government,30,30,0,424768,1.309403498,103.9018502,271 ONAN ROAD DUNMAN FOOD CENTRE SINGAPORE 424768,"(1.309403498, 103.9018502)"
East Coast Lagoon Food Village,HC,Government,63,63,0,468960,1.306905736,103.9351379,1220 EAST COAST PARKWAY DBS EAST COAST LAGOON FOOD VILLAGE SINGAPORE 468960,"(1.306905736, 103.9351379)"
Geylang Serai Market,MHC,Government,365,63,302,402001,1.316678856,103.8981027,1 GEYLANG SERAI DBS GEYLANG SERAI MARKET AND FOOD CENTRE SINGAPORE 402001,"(1.316678856, 103.8981027)"
Golden Mile Food Centre,MHC,Government,223,112,111,199583,1.303141515,103.8638774,505 BEACH ROAD UOB GOLDEN MILE FOOD CENTRE SINGAPORE 199583,"(1.303141515, 103.8638774)"
Holland Village Market & Food Centre,MHC,Government,69,21,48,277700,1.311148964,103.7948338,1 LORONG MAMBONG HOLLAND VILLAGE MARKET & FOOD CENTRE SINGAPORE 277700,"(1.311148964, 103.7948338)"
Kallang Estate Market,MHC,Government,94,16,78,397972,1.307396173,103.8841302,17 OLD AIRPORT ROAD KALLANG ESTATE FRESH MARKET AND FOOD CENTRE SINGAPORE 397972,"(1.307396173, 103.8841302)"
Maxwell Food Centre,HC,Government,103,103,0,69184,1.280537908,103.8444748,1 KADAYANALLUR STREET MAXWELL ROAD FOOD CENTRE SINGAPORE 069184,"(1.280537908, 103.8444748)"
Newton Food Centre,HC,Government,83,83,0,229495,1.312114273,103.8398132,500 CLEMENCEAU AVENUE NORTH OCBC NEWTON FOOD CENTRE SINGAPORE 229495,"(1.312114273, 103.8398132)"
North Bridge Road Market & Food Centre,MHC,Government,119,37,82,198783,1.306140807,103.8640993,861 NORTH BRIDGE ROAD NORTH BRIDGE ROAD MARKET AND FOOD CENTRE SINGAPORE 198783,"(1.306140807, 103.8640993)"
Pasir Panjang Food Centre,HC,Government,45,45,0,118543,1.275979339,103.7913433,121 PASIR PANJANG ROAD PASIR PANJANG FOOD CENTRE SINGAPORE 118543,"(1.275979339, 103.7913433)"
Serangoon Garden Market,MHC,Government,82,46,36,555945,1.363157215,103.8667375,49A SERANGOON GARDEN WAY SERANGOON GARDEN MARKET SINGAPORE 555945,"(1.363157215, 103.8667375)"
Sembawang Hill Food Centre,HC,Government,36,36,0,574419,1.372384979,103.8289942,590 UPPER THOMSON ROAD SEMBAWANG HILLS FOOD CENTRE SINGAPORE 574419,"(1.372384979, 103.8289942)"
Taman Jurong Market & Food Centre,MHC,Government,180,123,57,618499,1.334682665,103.7216193,3 YUNG SHENG ROAD DBS TAMAN JURONG MARKET & FOOD CENTRE SINGAPORE 618499,"(1.334682665, 103.7216193)"
Tanglin Halt Market,MHC,Government,117,28,89,148813,1.300558071,103.7977194,48A TANGLIN HALT ROAD TANGLIN HALT MARKET SINGAPORE 148813,"(1.300558071, 103.7977194)"
Tiong Bahru Market,MHC,Government,342,83,259,168898,1.284685992,103.8324216,30 SENG POH ROAD DBS TIONG BAHRU MARKET SINGAPORE 168898,"(1.284685992, 103.8324216)"
Zion Riverside Food Centre,HC,Government,32,32,0,247792,1.292342232,103.8311893,70 ZION ROAD ZION RIVERSIDE FOOD CENTRE SINGAPORE 247792,"(1.292342232, 103.8311893)"
ABC Brickworks Market & Food Centre,MHC,HDB,144,96,48,150006,1.28695275,103.808128,6 JALAN BUKIT MERAH ABC BRICKWORKS MARKET & FOOD CENTRE SINGAPORE 150006,"(1.28695275, 103.808128)"
Albert Centre Market & Food Centre,MHC,HDB,234,86,148,180270,1.301001496,103.8542117,270 QUEEN STREET ALBERT CENTRE MARKET & FOOD CENTRE SINGAPORE 180270,"(1.301001496, 103.8542117)"
Alexandra Village Food Centre,HC,HDB,88,88,0,150120,1.286297808,103.8044893,120 BUKIT MERAH LANE 1 ALEXANDRA VILLAGE FOOD CENTRE SINGAPORE 150120,"(1.286297808, 103.8044893)"
Jalan Kukoh Food Centre,HC,HDB,21,21,0,161001,1.288231015,103.8399342,1 JALAN KUKOH HAWKER CENTRE (BLK 1 JALAN KUKOH) SINGAPORE 161001,"(1.288231015, 103.8399342)"
Hougang Avenue 1 Block 105,MHC,HDB,171,51,120,530105,1.353847285,103.8900942,105 HOUGANG AVENUE 1 HOUGANG 105 HAINANESE VILLAGE CENTRE SINGAPORE 530105,"(1.353847285, 103.8900942)"
Blk 11 Telok Blangah Crescent,MHC,HDB,133,56,77,90011,1.277366898,103.8186417,11 TELOK BLANGAH CRESCENT MARKET & HAWKER CENTRE (BLK 11 TELOK BLANGAH CRESCENT) SINGAPORE 090011,"(1.277366898, 103.8186417)"
Blk 112 Jalan Bukit Merah,MHC,HDB,80,22,58,160112,1.28000483,103.8260133,112 JALAN BUKIT MERAH MARKET & HAWKER CENTRE (BLK 112 JALAN BUKIT MERAH) SINGAPORE 160112,"(1.28000483, 103.8260133)"
Blk 115 Bukit Merah View,MHC,HDB,182,84,98,151115,1.285504832,103.8220494,115 BUKIT MERAH VIEW MARKET & HAWKER CENTRE (BLK 115 BUKIT MERAH VIEW) SINGAPORE 151115,"(1.285504832, 103.8220494)"
Blk 117 Aljunied Ave 2,MHC,HDB,161,79,82,380117,1.320781077,103.8867735,117 ALJUNIED AVENUE 2 MARKET & HAWKER CENTRE (BLK 117 ALJUNIED AVE 2) SINGAPORE 380117,"(1.320781077, 103.8867735)"
Blk 127 Toa Payoh Lorong 1,MHC,HDB,148,40,108,310127,1.338092768,103.8447317,127 LORONG 1 TOA PAYOH TOA PAYOH WEST MARKET AND FOOD COURT SINGAPORE 310127,"(1.338092768, 103.8447317)"
Blk 137 Tampines Street 11,MHC,HDB,144,45,99,521137,1.345786112,103.9445889,137 TAMPINES STREET 11 TAMPINES ROUND MARKET AND FOOD CENTRE SINGAPORE 521137,"(1.345786112, 103.9445889)"
Blk 159 Mei Chin Road,MHC,HDB,113,47,66,140159,1.293236243,103.8029039,159 MEI CHIN ROAD MEI CHIN ROAD MARKET SINGAPORE 140159,"(1.293236243, 103.8029039)"
Blk 16 Bedok South Road,MHC,HDB,194,64,130,460016,1.320500838,103.9354736,16 BEDOK SOUTH ROAD MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD) SINGAPORE 460016,"(1.320500838, 103.9354736)"
Blk 163 Bukit Merah Central,HC,HDB,57,57,0,150163,1.28370221,103.8169496,163 BUKIT MERAH CENTRAL BUKIT MERAH CENTRAL FOOD CENTRE SINGAPORE 150163,"(1.28370221, 103.8169496)"
Blk 17 Upper Boon Keng Road,MHC,HDB,144,84,60,380017,1.315028057,103.8716203,17 UPPER BOON KENG ROAD UPPER BOON KENG MARKET AND FOOD CENTRE SINGAPORE 380017,"(1.315028057, 103.8716203)"
Blk 20 Ghim Moh Road,MHC,HDB,230,72,158,270020,1.310910184,103.7882414,20 GHIM MOH ROAD MARKET & HAWKER CENTRE (BLK 20 GHIM MOH ROAD) SINGAPORE 270020,"(1.310910184, 103.7882414)"
Blk 208B New Upper Changi Road,HC,HDB,70,70,0,462208,1.32478237,103.9305703,208B NEW UPPER CHANGI ROAD HAWKER CENTRE (BLK 208B NEW UPPER CHANGI ROAD) SINGAPORE 462208,"(1.32478237, 103.9305703)"
Blk 210 Toa Payoh Lorong 8,MHC,HDB,157,80,77,310210,1.340261046,103.8543958,210 LORONG 8 TOA PAYOH MARKET & HAWKER CENTRE (BLK 210 TOA PAYOH LORONG 8) SINGAPORE 310210,"(1.340261046, 103.8543958)"
Blk 216 Bedok North Street 1,MHC,HDB,196,82,114,460216,1.327044507,103.933287,216 BEDOK NORTH STREET 1 MARKET & HAWKER CENTRE (BLK 216 BEDOK NORTH STREET 1) SINGAPORE 460216,"(1.327044507, 103.933287)"
Blk 22 Toa Payoh Lorong 7,MHC,HDB,120,61,59,310022,1.335231501,103.8570361,22 LORONG 7 TOA PAYOH KIM KEAT PALM MARKET AND FOOD CENTRE SINGAPORE 310022,"(1.335231501, 103.8570361)"
Blk 226D Ang Mo Kio Ave 1,MHC,HDB,111,10,101,564226,1.366810005,103.8391426,226D ANG MO KIO AVENUE 1 KEBUN BARU MARKET AND FOOD CENTRE SINGAPORE 564226,"(1.366810005, 103.8391426)"
Blk 226H Ang Mo Kio Street 22,HC,HDB,29,29,0,568226,1.367178741,103.8401577,226H ANG MO KIO STREET 22 KEBUN BARU FOOD CENTRE SINGAPORE 568226,"(1.367178741, 103.8401577)"
Blk 254 Jurong East Street 24,MHC,HDB,147,60,87,600254,1.343516257,103.737851,254 JURONG EAST STREET 24 YUHUA VILLAGE MARKET AND FOOD CENTRE SINGAPORE 600254,"(1.343516257, 103.737851)"
