Shopping_Malls,latitude,longitude,full_address,coordinates
100 AM Singapore,1.274588218,103.8434707,100 TRAS STREET 100 AM SINGAPORE 079027,"(1.274588218, 103.8434707)"
313@Somerset Singapore,1.301385102,103.8376844,313 ORCHARD ROAD UOB 313@SOMERSET SINGAPORE 238895,"(1.301385102, 103.8376844)"
Aperia    Singapore ,1.30974242,103.8641017,12 KALLANG AVENUE JOSIAH BABIES (APERIA) SINGAPORE 339511,"(1.30974242, 103.8641017)"
Balestier   Hill   Shopping   Centre    Singapore ,1.326124169,103.8437095,2A BALESTIER ROAD BALESTIER HILL SHOPPING CENTRE SINGAPORE 321002,"(1.326124169, 103.8437095)"
Bugis   Cube    Singapore ,1.298195005,103.8556555,470 NORTH BRIDGE ROAD BUGIS CUBE SINGAPORE 188735,"(1.298195005, 103.8556555)"
Bugis   Junction    Singapore ,1.299137172,103.8554503,200 VICTORIA STREET STANDARD CHARTERED BANK BUGIS JUNCTION SINGAPORE 188021,"(1.299137172, 103.8554503)"
Bugis+    Singapore ,1.299561986,103.8542402,201 VICTORIA STREET FILMGARDE AT BUGIS+ SINGAPORE 188067,"(1.299561986, 103.8542402)"
Capitol   Piazza    Singapore ,1.293063359,103.8512935,13 STAMFORD ROAD CAPITOL PIAZZA SINGAPORE 178905,"(1.293063359, 103.8512935)"
Cathay   Cineleisure   Orchard    Singapore ,1.301497434,103.8364448,8 GRANGE ROAD UOB CATHAY CINELEISURE ORCHARD SINGAPORE 239695,"(1.301497434, 103.8364448)"
Clarke   Quay   Central    Singapore ,1.289293352,103.8465132,"6 Eu Tong Sen St, Singapore 059817","(1.289293352, 103.8465132)"
The   Centrepoint    Singapore ,1.301450455,103.8400341,176 ORCHARD ROAD OCBC THE CENTREPOINT SINGAPORE 238843,"(1.301450455, 103.8400341)"
City   Square   Mall    Singapore ,1.311196033,103.8566481,180 KITCHENER ROAD DBS CITY SQUARE MALL SINGAPORE 208539,"(1.311196033, 103.8566481)"
City   Gate   Mall    Singapore ,1.302433242,103.8624917,"371 Beach Rd, Singapore 199597","(1.302433242, 103.8624917)"
City   Link   Mall    Singapore ,1.292378607,103.854663,1 RAFFLES LINK CITYLINK MALL SINGAPORE 039393,"(1.292378607, 103.854663)"
Duo    Singapore ,1.299534349,103.8584017,7 FRASER STREET DUO GALLERIA SINGAPORE 189356,"(1.299534349, 103.8584017)"
Far   East   Plaza    Singapore ,1.307266064,103.8337353,14 SCOTTS ROAD UOB FAR EAST PLAZA SINGAPORE 228213,"(1.307266064, 103.8337353)"
Funan    Singapore ,1.291575969,103.8494586,67 HILL STREET LYF FUNAN SINGAPORE SINGAPORE 179370,"(1.291575969, 103.8494586)"
Great   World   City    Singapore ,1.293475962,103.8319759,1 KIM SENG PROMENADE UOB GREAT WORLD CITY SINGAPORE 237994,"(1.293475962, 103.8319759)"
HDB   Hub   Singapore ,1.332118977,103.8471758,"Blocks 460 to 530, Lor 6 Toa Payoh, Singapore 310460","(1.332118977, 103.8471758)"
Holland   Village   Shopping   Mall    Singapore ,1.3105269,103.7954225,"211 Holland Ave, Singapore 278967","(1.3105269, 103.7954225)"
ION Orchard Singapore,1.304730948,103.8314655,2 ORCHARD TURN UOB ION ORCHARD SINGAPORE 238801,"(1.304730948, 103.8314655)"
Junction 8    Singapore ,1.350182003,103.8485157,9 BISHAN PLACE CITIBANK BISHAN JUNCTION 8 SINGAPORE 579837,"(1.350182003, 103.8485157)"
Knightsbridge    Singapore ,1.30310526,103.836202,270 ORCHARD ROAD CIMB BANK BERHAD KNIGHTSBRIDGE SINGAPORE 238857,"(1.30310526, 103.836202)"
Liat   Towers    Singapore ,1.30510759,103.8307279,541 ORCHARD ROAD LIAT TOWERS SINGAPORE 238881,"(1.30510759, 103.8307279)"
Lucky   Plaza    Singapore ,1.30446379,103.8340052,304 ORCHARD ROAD UOB LUCKY PLAZA SINGAPORE 238863,"(1.30446379, 103.8340052)"
Marina   Bay   Sands    Singapore ,1.283577958,103.8607144,1 BAYFRONT AVENUE MARINA BAY SANDS SINGAPORE SINGAPORE 018971,"(1.283577958, 103.8607144)"
The    Shoppes at    Marina    Bay    Sands    Singapore ,1.28423496,103.8589823,2A BAYFRONT AVENUE THE SHOPPES AT MARINA BAY SANDS SINGAPORE 018958,"(1.28423496, 103.8589823)"
Marina   Bay   Link   Mall    Singapore ,1.280195333,103.8542077,8 MARINA BOULEVARD DBS MARINA BAY LINK MALL SINGAPORE 018981,"(1.280195333, 103.8542077)"
Marina   One    Singapore ,1.282253318,103.8525921,1 MARINA BOULEVARD ONE MARINA BOULEVARD SINGAPORE 018989,"(1.282253318, 103.8525921)"
Marina   Square    Singapore ,1.290971999,103.8575754,6 RAFFLES BOULEVARD UOB MARINA SQUARE SINGAPORE 039594,"(1.290971999, 103.8575754)"
