licensee_name,postal_code,latitude,longitude,full_address,coordinates
AP HOUSE PTE. LTD.,18961,1.278363046,103.8509574,12 MARINA VIEW THE WESTIN SINGAPORE SINGAPORE 018961,"(1.278363046, 103.8509574)"
COLD STORAGE SINGAPORE (1983) PTE LTD,18972,1.283854644,103.8586749,2 BAYFRONT AVENUE DBS DBS MARINA BAY SANDS BRANCH SINGAPORE 018972,"(1.283854644, 103.8586749)"
FOUR SEASONS GOURMET MARKET PTE. LTD.,18984,1.279724915,103.8545488,8A MARINA BOULEVARD GROUND PLAZA (MARINA BAY LINK MALL) SINGAPORE 018984,"(1.279724915, 103.8545488)"
AL MARCHE PTE LTD,18987,1.280769435,103.8526586,2 MARINA BOULEVARD THE SAIL @ MARINA BAY SINGAPORE 018987,"(1.280769435, 103.8526586)"
COLD STORAGE SINGAPORE (1983) PTE LTD,38983,1.294324165,103.860372,3 TEMASEK BOULEVARD UOB SUNTEC CITY BRANCH SINGAPORE 038983,"(1.294324165, 103.860372)"
EPICUREAN CONCEPTS MARINA SQUARE PTE. LTD.,39594,1.291455268,103.8570073,6 RAFFLES BOULEVARD MINDCHAMPS PRESCHOOL @ MARINA SQUARE PTE. LTD. SINGAPORE 039594,"(1.291455268, 103.8570073)"
BOZZ INTERNATIONAL PTE. LTD.,39594,1.291455268,103.8570073,6 RAFFLES BOULEVARD MINDCHAMPS PRESCHOOL @ MARINA SQUARE PTE. LTD. SINGAPORE 039594,"(1.291455268, 103.8570073)"
WAN SIEW YOONG,50004,1.281800622,103.8429082,4 SAGO LANE SINGAPORE 050004,"(1.281800622, 103.8429082)"
HONG HENG SENG,50005,1.28119737,103.8434373,5 BANDA STREET SINGAPORE 050005,"(1.28119737, 103.8434373)"
NTUC Fairprice Co-operative Ltd,59413,1.285185161,103.8449429,133 NEW BRIDGE ROAD OCBC CHINATOWN POINT - FAIRPRICE SINGAPORE 059413,"(1.285185161, 103.8449429)"
SONG FISH DEALER PTE LTD,59413,1.285185161,103.8449429,133 NEW BRIDGE ROAD OCBC CHINATOWN POINT - FAIRPRICE SINGAPORE 059413,"(1.285185161, 103.8449429)"
NTUC Fairprice Co-operative Ltd,79027,1.274934748,103.8435524,100 TRAS STREET AMARA SINGAPORE SINGAPORE 079027,"(1.274934748, 103.8435524)"
COLD STORAGE SINGAPORE (1983) PTE LTD,79717,1.274709698,103.84432,16 ENGGOR STREET ICON VILLAGE SINGAPORE 079717,"(1.274709698, 103.84432)"
NTUC Fairprice Co-operative Ltd,81005,1.27624052,103.8430061,5 TANJONG PAGAR PLAZA SINGAPORE 081005,"(1.27624052, 103.8430061)"
LOTTE MART PTE. LTD.,88488,1.278173664,103.8439289,67 TANJONG PAGAR ROAD TANJONG PAGAR CONSERVATION AREA SINGAPORE 088488,"(1.278173664, 103.8439289)"
